Record,Date,UTC Time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
         1, 7/27/2012, 2:34:08,   1.015073E+01,   0:00:05.000,  9226,   0.000000E+00,   0:00:03.113,    18
         2, 7/27/2012, 2:34:13,   1.008472E+01,   0:00:10.039,  9166,   0.000000E+00,   0:00:03.113,    21
         3, 7/27/2012, 2:34:19,   1.005171E+01,   0:00:15.081,  9136,   0.000000E+00,   0:00:03.113,    21
         4, 7/27/2012, 2:34:24,   8.081197E+00,   0:00:20.137,  7333,   0.000000E+00,   0:00:03.113,    22
         5, 7/27/2012, 2:34:29,   8.449775E+00,   0:00:25.175,  7680,   0.000000E+00,   0:00:03.113,    23
         6, 7/27/2012, 2:34:34,   5.174387E+00,   0:00:30.226,  4703,   5.832601E-01,   0:00:03.174,   536
         7, 7/27/2012, 2:34:39,   4.181978E+00,   0:00:35.263,  3801,   0.000000E+00,   0:00:03.513,    23
         8, 7/27/2012, 2:34:44,   4.235889E+00,   0:00:40.302,  3850,   0.000000E+00,   0:00:03.513,    26
         9, 7/27/2012, 2:34:49,   4.164374E+00,   0:00:45.342,  3785,   0.000000E+00,   0:00:03.513,    25
        10, 7/27/2012, 2:34:54,   4.150072E+00,   0:00:50.390,  3772,   0.000000E+00,   0:00:03.513,    20
        11, 7/27/2012, 2:35:28,   5.807020E+00,   0:00:57.407,  5277,   0.000000E+00,   0:00:04.989,    38
        12, 7/27/2012, 2:35:33,   5.682693E+00,   0:01:02.454,  5165,   0.000000E+00,   0:00:04.989,    20
        13, 7/27/2012, 2:35:38,   4.457036E+00,   0:01:07.501,  4051,   0.000000E+00,   0:00:04.989,    23
        14, 7/27/2012, 2:35:43,   4.419628E+00,   0:01:12.537,  4017,   0.000000E+00,   0:00:04.989,    22
        15, 7/27/2012, 2:35:48,   2.993729E+00,   0:01:17.589,  2721,   0.000000E+00,   0:00:04.989,    23
        16, 7/27/2012, 2:35:53,   2.946419E+00,   0:01:22.625,  2678,   0.000000E+00,   0:00:04.989,    23
        17, 7/27/2012, 2:35:59,   2.990428E+00,   0:01:27.662,  2718,   0.000000E+00,   0:00:04.989,    18
        18, 7/27/2012, 2:36:04,   2.856200E+00,   0:01:32.700,  2596,   0.000000E+00,   0:00:04.989,    22
        19, 7/27/2012, 2:36:13,   4.508747E+00,   0:01:41.093,  4097,   0.000000E+00,   0:00:04.989,    17
        20, 7/27/2012, 2:36:19,   4.517549E+00,   0:01:46.152,  4106,   0.000000E+00,   0:00:04.989,    18
        21, 7/27/2012, 2:36:24,   4.513148E+00,   0:01:51.199,  4102,   0.000000E+00,   0:00:04.989,    31
        22, 7/27/2012, 2:36:29,   5.783915E+00,   0:01:56.278,  5257,   0.000000E+00,   0:00:04.989,    25
        23, 7/27/2012, 2:36:34,   5.877434E+00,   0:02:01.317,  5343,   0.000000E+00,   0:00:04.989,    26
        24, 7/27/2012, 2:36:39,   5.898338E+00,   0:02:06.354,  5361,   0.000000E+00,   0:00:04.989,    22
        25, 7/27/2012, 2:36:44,   5.925845E+00,   0:02:11.407,  5386,   0.000000E+00,   0:00:04.989,    23
        26, 7/27/2012, 2:36:49,   5.941247E+00,   0:02:16.447,  5400,   0.000000E+00,   0:00:04.989,    25
        27, 7/27/2012, 2:36:54,   6.090879E+00,   0:02:21.486,  5536,   0.000000E+00,   0:00:04.989,    21
        28, 7/27/2012, 2:36:59,   1.088899E+01,   0:02:26.535,  9897,   0.000000E+00,   0:00:04.989,    27
        29, 7/27/2012, 2:37:04,   1.092750E+01,   0:02:31.581,  9932,   0.000000E+00,   0:00:04.989,    23
        30, 7/27/2012, 2:45:56,   3.660469E+00,   0:02:41.605,  3327,   0.000000E+00,   0:00:06.758,    25
        31, 7/27/2012, 2:46:01,   1.436902E+00,   0:02:46.641,  1306,   0.000000E+00,   0:00:06.758,    23
        32, 7/27/2012, 2:46:06,   2.368797E+00,   0:02:51.678,  2152,   0.000000E+00,   0:00:06.758,    25
        33, 7/27/2012, 2:46:11,   2.950820E+00,   0:02:56.716,  2682,   0.000000E+00,   0:00:06.758,    26
        34, 7/27/2012, 2:46:51,   1.116404E+01,   0:03:07.930, 10147,   0.000000E+00,   0:00:07.812,    21
        35, 7/27/2012, 2:46:56,   1.115304E+01,   0:03:12.968, 10137,   0.000000E+00,   0:00:07.812,    23
        36, 7/27/2012, 2:47:01,   1.115194E+01,   0:03:18.019, 10136,   0.000000E+00,   0:00:07.812,    20
        37, 7/27/2012, 2:47:06,   1.116735E+01,   0:03:23.059, 10150,   0.000000E+00,   0:00:07.812,    25
        38, 7/27/2012, 2:47:11,   1.116184E+01,   0:03:28.100, 10146,   0.000000E+00,   0:00:07.812,    26
        39, 7/27/2012, 2:47:16,   1.114534E+01,   0:03:33.171, 10130,   0.000000E+00,   0:00:07.812,    20
        40, 7/27/2012, 2:47:22,   1.115194E+01,   0:03:38.206, 10136,   0.000000E+00,   0:00:07.812,    22
        41, 7/27/2012, 2:47:27,   1.114204E+01,   0:03:43.242, 10127,   0.000000E+00,   0:00:07.812,    27
        42, 7/27/2012, 2:47:32,   1.115304E+01,   0:03:48.285, 10137,   0.000000E+00,   0:00:07.812,    27
        43, 7/27/2012, 2:47:37,   1.115634E+01,   0:03:53.350, 10140,   0.000000E+00,   0:00:07.812,    25
        44, 7/27/2012, 2:47:42,   1.113654E+01,   0:03:58.407, 10122,   0.000000E+00,   0:00:07.812,    26
        45, 7/27/2012, 2:47:47,   1.116294E+01,   0:04:03.448, 10146,   0.000000E+00,   0:00:07.812,    21
        46, 7/27/2012, 2:47:52,   1.114534E+01,   0:04:08.486, 10130,   0.000000E+00,   0:00:07.812,    22
        47, 7/27/2012, 2:47:57,   1.113654E+01,   0:04:13.524, 10122,   0.000000E+00,   0:00:07.812,    21
        48, 7/27/2012, 2:48:02,   1.113764E+01,   0:04:18.571, 10123,   0.000000E+00,   0:00:07.812,    22
        49, 7/27/2012, 2:48:07,   1.114314E+01,   0:04:23.614, 10128,   0.000000E+00,   0:00:07.812,    23
        50, 7/27/2012, 2:48:12,   1.115304E+01,   0:04:28.651, 10137,   0.000000E+00,   0:00:07.812,    18
        51, 7/27/2012, 2:48:17,   1.050831E+01,   0:04:33.688,  9551,   0.000000E+00,   0:00:07.812,    26
        52, 7/27/2012, 2:48:22,   1.052921E+01,   0:04:38.733,  9570,   0.000000E+00,   0:00:07.812,    22
        53, 7/27/2012, 2:48:27,   1.050391E+01,   0:04:43.784,  9547,   0.000000E+00,   0:00:07.812,    22
        54, 7/27/2012, 2:48:32,   1.051821E+01,   0:04:48.824,  9560,   0.000000E+00,   0:00:07.812,    22
        55, 7/27/2012, 2:48:37,   1.050171E+01,   0:04:53.862,  9545,   0.000000E+00,   0:00:07.812,    22
        56, 7/27/2012, 2:48:42,   1.051491E+01,   0:04:58.901,  9557,   0.000000E+00,   0:00:07.812,    26
