event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio
1.0,0 days 00:05:11.000000000,311.0,9.62,2.45,12.07,14.312631416666669,2.2426314166666685,3.0,4.0,1.0, 5.547713156408808 0.8023234372118782 6.898996655518401
2.0,0 days 00:01:04.000000000,64.0,0.269999999999996,0.17000000000000126,0.4399999999999973,0.0,-0.4399999999999973,1.0,1.0,1.0, 1.6285714285714057
3.0,0 days 00:08:16.000000000,496.0,10.899999999999963,1.5400000000000027,12.439999999999966,41.875160916666665,29.4351609166667,6.0,6.0,0.0, 3.6314984709479807 5.563218390804606 5.561904761904806 7.865384615384587 3.7565543071161134 22.955882352941323
4.0,0 days 00:03:21.000000000,201.0,2.703999999999965,0.3530000000000042,3.0569999999999693,4.0794732499999995,1.0224732500000302,2.0,1.0,0.0, 2.643062451006037
5.0,0 days 00:03:07.000000000,187.0,2.191999999999961,0.42000000000000703,2.611999999999968,7.374482166666667,4.7624821666666985,2.0,2.0,0.0, 3.396895787139667 16.229437229437462
6.0,0 days 00:01:26.000000000,86.0,3.1999999999999886,0.18999999999999773,3.3899999999999864,0.0,-3.3899999999999864,2.0,2.0,0.0, 10.921568627450846 45.875598086124725
7.0,0 days 00:02:43.000000000,163.0,0.6519999999999655,0.18999999999999684,0.8419999999999623,2.6292766666666667,1.7872766666667044,1.0,1.0,1.0, 4.180205415499788
8.0,0 days 00:02:53.000000000,173.0,2.7500000000000036,0.3200000000000074,3.070000000000011,7.854548833333333,4.784548833333322,3.0,2.0,0.0, 15.531250000000254 3.399739016963836
9.0,0 days 00:00:58.000000000,58.0,4.985999999999962,0.14000000000000856,5.12599999999997,4.2605525,-0.86544749999997,1.0,1.0,0.0, 30.648739495797034
10.0,0 days 00:01:32.000000000,92.0,5.160000000000011,0.21000000000000707,5.370000000000018,1.8697505,-3.5002495000000176,1.0,1.0,0.0, 28.74126984126929
11.0,0 days 00:03:31.000000000,211.0,7.131999999999991,0.5100000000000051,7.641999999999996,9.261103499999999,1.6191035000000031,2.0,2.0,1.0, 7.937500000000244 11.560267857142758
12.0,0 days 00:02:45.000000000,165.0,6.939999999999905,1.3499999999999952,8.2899999999999,9.76390825,1.4739082500001004,2.0,2.0,1.0, 1.1164772727271781 6.572532188841181
13.0,0 days 00:10:00.000000000,600.0,48.21999999999982,8.549999999999981,56.769999999999804,77.35191975,20.58191975000019,9.0,6.0,1.0, 0.6762234305487226 3.242206235012108 7.202721088435385 7.696305164063862 6.9440092930633135 6.567619047619109
14.0,0 days 00:02:15.000000000,135.0,0.27999999999988745,0.009999999999990905,0.28999999999987836,8.287857333333333,7.997857333333455,1.0,0.0,0.0,
15.0,0 days 00:08:28.000000000,508.0,18.339999999999648,1.599999999999941,19.93999999999959,23.916823583333333,3.9768235833337435,7.0,5.0,0.0, 3.0208333333329773 7.736968724939679 7.654912701129653 6.803229974159817 7.18071099407482
16.0,0 days 00:01:57.000000000,117.0,0.9800000000000182,0.3599999999999959,1.340000000000014,1.5181355,0.178135499999986,0.0,1.0,1.0,
17.0,0 days 00:04:22.000000000,262.0,2.7599999999997635,0.3200000000000216,3.079999999999785,2.793761666666667,-0.286238333333118,3.0,3.0,1.0, 19.928571428568052 4.092307692308818 1.5042735042718847
18.0,0 days 00:02:32.000000000,152.0,0.7199999999998283,0.25,0.9699999999998283,2.06366675,1.0936667500001716,1.0,3.0,1.0, 5.180622837369888
19.0,0 days 00:03:50.000000000,230.0,1.2199999999998568,0.21999999999996334,1.43999999999982,4.3875375,2.9475375000001796,1.0,1.0,1.0, 12.811034482760713
20.0,0 days 00:02:32.000000000,152.0,2.3599999999997294,0.6900000000000084,3.049999999999738,0.0,-3.049999999999738,1.0,1.0,1.0, 1.788819875776224
21.0,0 days 00:03:05.000000000,185.0,3.779999999999916,0.6399999999999828,4.419999999999899,6.518043916666667,2.098043916666768,2.0,3.0,0.0, 3.4465499783021873 8.478764478764258
22.0,0 days 00:00:25.000000000,25.0,0.0,0.05999999999999872,0.05999999999999872,0.0,-0.05999999999999872,0.0,1.0,1.0,
23.0,0 days 00:05:29.000000000,329.0,4.579999999999558,1.003999999999973,5.583999999999531,20.238383166666665,14.654383166667134,2.0,2.0,1.0, 3.367149758454126 0.7335907335901287
