date,time,weight
23.11.2020,1:38:16 PM,0.24
23.11.2020,1:38:17 PM,0.24
23.11.2020,1:38:18 PM,0.24
23.11.2020,1:38:19 PM,0.24
23.11.2020,1:38:20 PM,0.24
23.11.2020,1:38:21 PM,0.24
23.11.2020,1:38:22 PM,0.24
23.11.2020,1:38:23 PM,0.24
23.11.2020,1:38:24 PM,0.24
23.11.2020,1:38:25 PM,0.24
23.11.2020,1:38:26 PM,0.24
23.11.2020,1:38:27 PM,0.24
23.11.2020,1:38:28 PM,0.24
23.11.2020,1:38:29 PM,0.24
23.11.2020,1:38:30 PM,0.24
23.11.2020,1:38:32 PM,0.24
23.11.2020,1:38:33 PM,0.24
23.11.2020,1:38:34 PM,0.24
23.11.2020,1:38:35 PM,0.24
23.11.2020,1:38:36 PM,0.24
23.11.2020,1:38:37 PM,0.24
23.11.2020,1:38:38 PM,0.24
23.11.2020,1:38:39 PM,0.24
23.11.2020,1:38:40 PM,0.24
23.11.2020,1:38:41 PM,0.24
23.11.2020,1:38:42 PM,0.24
23.11.2020,1:38:43 PM,0.24
23.11.2020,1:38:44 PM,0.24
23.11.2020,1:38:45 PM,0.24
23.11.2020,1:38:46 PM,0.24
23.11.2020,1:38:47 PM,0.24
23.11.2020,1:38:48 PM,0.24
23.11.2020,1:38:50 PM,0.24
23.11.2020,1:38:51 PM,0.24
23.11.2020,1:38:52 PM,0.24
23.11.2020,1:38:53 PM,0.24
23.11.2020,1:38:54 PM,0.24
23.11.2020,1:38:55 PM,0.24
23.11.2020,1:38:56 PM,0.24
23.11.2020,1:38:57 PM,0.25
23.11.2020,1:38:58 PM,0.27
23.11.2020,1:38:59 PM,0.29
23.11.2020,1:39:00 PM,0.32
23.11.2020,1:39:01 PM,0.35
23.11.2020,1:39:02 PM,0.39
23.11.2020,1:39:03 PM,0.42
23.11.2020,1:39:04 PM,0.46
23.11.2020,1:39:05 PM,0.46
23.11.2020,1:39:06 PM,0.48
23.11.2020,1:39:07 PM,0.49
23.11.2020,1:39:09 PM,0.5
23.11.2020,1:39:10 PM,0.5
23.11.2020,1:39:11 PM,0.5
23.11.2020,1:39:12 PM,0.5
23.11.2020,1:39:13 PM,0.5
23.11.2020,1:39:14 PM,0.5
23.11.2020,1:39:15 PM,0.51
23.11.2020,1:39:16 PM,0.51
23.11.2020,1:39:17 PM,0.51
23.11.2020,1:39:18 PM,0.51
23.11.2020,1:39:19 PM,0.51
23.11.2020,1:39:20 PM,0.51
23.11.2020,1:39:21 PM,0.51
23.11.2020,1:39:22 PM,0.51
23.11.2020,1:39:23 PM,0.51
23.11.2020,1:39:24 PM,0.51
23.11.2020,1:39:25 PM,0.51
23.11.2020,1:39:27 PM,0.51
23.11.2020,1:39:28 PM,0.51
23.11.2020,1:39:29 PM,0.51
23.11.2020,1:39:30 PM,0.51
23.11.2020,1:39:31 PM,0.51
23.11.2020,1:39:32 PM,0.51
23.11.2020,1:39:33 PM,0.51
23.11.2020,1:39:34 PM,0.51
23.11.2020,1:39:35 PM,0.52
23.11.2020,1:39:36 PM,0.52
23.11.2020,1:39:37 PM,0.52
23.11.2020,1:39:38 PM,0.52
23.11.2020,1:39:39 PM,0.52
23.11.2020,1:39:40 PM,0.52
23.11.2020,1:39:41 PM,0.52
23.11.2020,1:39:42 PM,0.52
23.11.2020,1:39:43 PM,0.52
23.11.2020,1:39:45 PM,0.52
23.11.2020,1:39:46 PM,0.52
23.11.2020,1:39:47 PM,0.52
23.11.2020,1:39:48 PM,0.52
23.11.2020,1:39:49 PM,0.52
23.11.2020,1:39:50 PM,0.52
23.11.2020,1:39:51 PM,0.52
23.11.2020,1:39:52 PM,0.52
23.11.2020,1:39:53 PM,0.52
23.11.2020,1:39:54 PM,0.52
23.11.2020,1:39:55 PM,0.52
23.11.2020,1:39:56 PM,0.52
23.11.2020,1:39:57 PM,0.52
23.11.2020,1:39:58 PM,0.52
23.11.2020,1:39:59 PM,0.52
23.11.2020,1:40:00 PM,0.52
23.11.2020,1:40:01 PM,0.52
23.11.2020,1:40:02 PM,0.52
23.11.2020,1:40:04 PM,0.52
23.11.2020,1:40:05 PM,0.52
23.11.2020,1:40:06 PM,0.52
23.11.2020,1:40:07 PM,0.52
23.11.2020,1:40:08 PM,0.52
23.11.2020,1:40:09 PM,0.52
23.11.2020,1:40:10 PM,0.52
23.11.2020,1:40:11 PM,0.52
23.11.2020,1:40:12 PM,0.52
23.11.2020,1:40:13 PM,0.52
23.11.2020,1:40:14 PM,0.52
23.11.2020,1:40:15 PM,0.52
23.11.2020,1:40:16 PM,0.52
23.11.2020,1:40:17 PM,0.52
23.11.2020,1:40:18 PM,0.52
23.11.2020,1:40:19 PM,0.52
23.11.2020,1:40:20 PM,0.52
23.11.2020,1:40:22 PM,0.52
23.11.2020,1:40:23 PM,0.52
23.11.2020,1:40:24 PM,0.52
23.11.2020,1:40:25 PM,0.52
23.11.2020,1:40:26 PM,0.52
23.11.2020,1:40:27 PM,0.52
23.11.2020,1:40:28 PM,0.52
23.11.2020,1:40:29 PM,0.52
23.11.2020,1:40:30 PM,0.52
23.11.2020,1:40:31 PM,0.52
23.11.2020,1:40:32 PM,0.52
23.11.2020,1:40:33 PM,0.52
23.11.2020,1:40:34 PM,0.52
23.11.2020,1:40:35 PM,0.52
23.11.2020,1:40:36 PM,0.52
23.11.2020,1:40:37 PM,0.52
23.11.2020,1:40:38 PM,0.52
23.11.2020,1:40:40 PM,0.52
23.11.2020,1:40:41 PM,0.52
23.11.2020,1:40:42 PM,0.52
23.11.2020,1:40:43 PM,0.52
23.11.2020,1:40:44 PM,0.52
23.11.2020,1:40:45 PM,0.52
23.11.2020,1:40:46 PM,0.52
23.11.2020,1:40:47 PM,0.52
23.11.2020,1:40:48 PM,0.52
23.11.2020,1:40:49 PM,0.52
23.11.2020,1:40:50 PM,0.52
23.11.2020,1:40:51 PM,0.52
23.11.2020,1:40:52 PM,0.52
23.11.2020,1:40:53 PM,0.52
23.11.2020,1:40:54 PM,0.52
23.11.2020,1:40:55 PM,0.52
23.11.2020,1:40:56 PM,0.52
23.11.2020,1:40:57 PM,0.52
23.11.2020,1:40:59 PM,0.52
23.11.2020,1:41:00 PM,0.52
23.11.2020,1:41:01 PM,0.52
23.11.2020,1:41:02 PM,0.52
23.11.2020,1:41:03 PM,0.52
23.11.2020,1:41:04 PM,0.52
23.11.2020,1:41:05 PM,0.52
23.11.2020,1:41:06 PM,0.52
23.11.2020,1:41:07 PM,0.52
23.11.2020,1:41:08 PM,0.52
23.11.2020,1:41:09 PM,0.52
23.11.2020,1:41:10 PM,0.52
23.11.2020,1:41:11 PM,0.52
23.11.2020,1:41:12 PM,0.52
23.11.2020,1:41:13 PM,0.52
23.11.2020,1:41:14 PM,0.52
23.11.2020,1:41:15 PM,0.52
23.11.2020,1:41:17 PM,0.52
23.11.2020,1:41:18 PM,0.52
23.11.2020,1:41:19 PM,0.52
23.11.2020,1:41:20 PM,0.52
23.11.2020,1:41:21 PM,0.52
23.11.2020,1:41:22 PM,0.52
23.11.2020,1:41:23 PM,0.52
23.11.2020,1:41:24 PM,0.52
23.11.2020,1:41:25 PM,0.52
23.11.2020,1:41:26 PM,0.52
23.11.2020,1:41:27 PM,0.52
23.11.2020,1:41:28 PM,0.52
23.11.2020,1:41:29 PM,0.52
23.11.2020,1:41:30 PM,0.52
23.11.2020,1:41:31 PM,0.52
23.11.2020,1:41:32 PM,0.52
23.11.2020,1:41:33 PM,0.52
23.11.2020,1:41:34 PM,0.52
23.11.2020,1:41:36 PM,0.52
23.11.2020,1:41:37 PM,0.52
23.11.2020,1:41:38 PM,0.52
23.11.2020,1:41:39 PM,0.52
23.11.2020,1:41:40 PM,0.52
23.11.2020,1:41:41 PM,0.52
23.11.2020,1:41:42 PM,0.52
23.11.2020,1:41:43 PM,0.52
23.11.2020,1:41:44 PM,0.52
23.11.2020,1:41:45 PM,0.52
23.11.2020,1:41:46 PM,0.52
23.11.2020,1:41:47 PM,0.52
23.11.2020,1:41:48 PM,0.52
23.11.2020,1:41:49 PM,0.52
23.11.2020,1:41:50 PM,0.52
23.11.2020,1:41:51 PM,0.52
23.11.2020,1:41:52 PM,0.52
23.11.2020,1:41:54 PM,0.52
23.11.2020,1:41:55 PM,0.52
23.11.2020,1:41:56 PM,0.52
23.11.2020,1:41:57 PM,0.52
23.11.2020,1:41:58 PM,0.52
23.11.2020,1:41:59 PM,0.52
23.11.2020,1:42:00 PM,0.52
23.11.2020,1:42:01 PM,0.52
23.11.2020,1:42:02 PM,0.52
23.11.2020,1:42:03 PM,0.52
23.11.2020,1:42:04 PM,0.52
23.11.2020,1:42:05 PM,0.52
23.11.2020,1:42:06 PM,0.52
23.11.2020,1:42:07 PM,0.52
23.11.2020,1:42:08 PM,0.52
23.11.2020,1:42:09 PM,0.52
23.11.2020,1:42:10 PM,0.52
23.11.2020,1:42:12 PM,0.52
23.11.2020,1:42:13 PM,0.52
23.11.2020,1:42:14 PM,0.52
23.11.2020,1:42:15 PM,0.52
23.11.2020,1:42:16 PM,0.52
23.11.2020,1:42:17 PM,0.52
23.11.2020,1:42:18 PM,0.52
23.11.2020,1:42:19 PM,0.52
23.11.2020,1:42:20 PM,0.52
23.11.2020,1:42:21 PM,0.52
23.11.2020,1:42:22 PM,0.52
23.11.2020,1:42:23 PM,0.52
23.11.2020,1:42:24 PM,0.52
23.11.2020,1:42:25 PM,0.52
23.11.2020,1:42:26 PM,0.52
23.11.2020,1:42:27 PM,0.52
23.11.2020,1:42:28 PM,0.52
23.11.2020,1:42:29 PM,0.52
23.11.2020,1:42:31 PM,0.52
23.11.2020,1:42:32 PM,0.52
23.11.2020,1:42:33 PM,0.52
23.11.2020,1:42:34 PM,0.52
23.11.2020,1:42:35 PM,0.52
23.11.2020,1:42:36 PM,0.52
23.11.2020,1:42:37 PM,0.52
23.11.2020,1:42:38 PM,0.53
23.11.2020,1:42:39 PM,0.53
23.11.2020,1:42:40 PM,0.53
23.11.2020,1:42:41 PM,0.53
23.11.2020,1:42:42 PM,0.53
23.11.2020,1:42:43 PM,0.53
23.11.2020,1:42:44 PM,0.53
23.11.2020,1:42:45 PM,0.53
23.11.2020,1:42:46 PM,0.53
23.11.2020,1:42:47 PM,0.53
23.11.2020,1:42:49 PM,0.53
23.11.2020,1:42:50 PM,0.53
23.11.2020,1:42:51 PM,0.53
23.11.2020,1:42:52 PM,0.53
23.11.2020,1:42:53 PM,0.53
23.11.2020,1:42:54 PM,0.53
23.11.2020,1:42:55 PM,0.53
23.11.2020,1:42:56 PM,0.53
23.11.2020,1:42:57 PM,0.53
23.11.2020,1:42:58 PM,0.53
23.11.2020,1:42:59 PM,0.53
23.11.2020,1:43:00 PM,0.53
23.11.2020,1:43:01 PM,0.53
23.11.2020,1:43:02 PM,0.53
23.11.2020,1:43:03 PM,0.53
23.11.2020,1:43:04 PM,0.53
23.11.2020,1:43:05 PM,0.53
23.11.2020,1:43:07 PM,0.53
23.11.2020,1:43:08 PM,0.53
23.11.2020,1:43:09 PM,0.53
23.11.2020,1:43:10 PM,0.53
23.11.2020,1:43:11 PM,0.53
23.11.2020,1:43:12 PM,0.53
23.11.2020,1:43:13 PM,0.53
23.11.2020,1:43:14 PM,0.53
23.11.2020,1:43:15 PM,0.53
23.11.2020,1:43:16 PM,0.53
23.11.2020,1:43:17 PM,0.53
23.11.2020,1:43:18 PM,0.53
23.11.2020,1:43:19 PM,0.55
23.11.2020,1:43:20 PM,0.57
23.11.2020,1:43:21 PM,0.57
23.11.2020,1:43:22 PM,0.61
23.11.2020,1:43:23 PM,0.65
23.11.2020,1:43:24 PM,0.68
23.11.2020,1:43:26 PM,0.71
23.11.2020,1:43:27 PM,0.75
23.11.2020,1:43:28 PM,0.78
23.11.2020,1:43:29 PM,0.8
23.11.2020,1:43:30 PM,0.81
23.11.2020,1:43:31 PM,0.81
23.11.2020,1:43:32 PM,0.81
23.11.2020,1:43:33 PM,0.81
23.11.2020,1:43:34 PM,0.82
23.11.2020,1:43:35 PM,0.82
23.11.2020,1:43:36 PM,0.82
23.11.2020,1:43:37 PM,0.82
23.11.2020,1:43:38 PM,0.83
23.11.2020,1:43:39 PM,0.83
23.11.2020,1:43:40 PM,0.83
23.11.2020,1:43:41 PM,0.83
23.11.2020,1:43:42 PM,0.83
23.11.2020,1:43:44 PM,0.83
23.11.2020,1:43:45 PM,0.83
23.11.2020,1:43:46 PM,0.83
23.11.2020,1:43:47 PM,0.83
23.11.2020,1:43:48 PM,0.83
23.11.2020,1:43:49 PM,0.83
23.11.2020,1:43:50 PM,0.83
23.11.2020,1:43:51 PM,0.83
23.11.2020,1:43:52 PM,0.83
23.11.2020,1:43:53 PM,0.83
23.11.2020,1:43:54 PM,0.83
23.11.2020,1:43:55 PM,0.83
23.11.2020,1:43:56 PM,0.83
23.11.2020,1:43:57 PM,0.83
23.11.2020,1:43:58 PM,0.83
23.11.2020,1:43:59 PM,0.83
23.11.2020,1:44:00 PM,0.83
23.11.2020,1:44:02 PM,0.83
23.11.2020,1:44:03 PM,0.83
23.11.2020,1:44:04 PM,0.83
