Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1, 5/11/2012, 1:03:46,9.58E+00,   0:00:05.501,8703,0.00E+00,   0:00:00.500,18
2, 5/11/2012, 1:03:51,9.53E+00,   0:00:10.516,8666,0.00E+00,   0:00:00.500,22
3, 5/11/2012, 1:03:56,9.51E+00,   0:00:15.555,8646,0.00E+00,   0:00:00.500,21
4, 5/11/2012, 1:04:02,1.68E+00,   0:00:20.593,1501,0.00E+00,   0:00:00.500,20
5, 5/11/2012, 1:07:52,1.06E+01,   0:00:25.823,9658,0.00E+00,   0:00:00.500,17
6, 5/11/2012, 1:07:57,1.06E+01,   0:00:30.893,9632,0.00E+00,   0:00:00.500,20
7, 5/11/2012, 1:08:02,1.06E+01,   0:00:35.937,9613,0.00E+00,   0:00:00.500,25
8, 5/11/2012, 1:08:07,1.06E+01,   0:00:40.980,9621,0.00E+00,   0:00:00.500,21
9, 5/11/2012, 1:08:12,1.06E+01,   0:00:46.020,9617,0.00E+00,   0:00:00.500,20
10, 5/11/2012, 1:08:18,1.06E+01,   0:00:51.069,9625,0.00E+00,   0:00:00.500,21
11, 5/11/2012, 1:14:28,1.05E+01,   0:00:59.879,9560,0.00E+00,   0:00:00.500,26
12, 5/11/2012, 1:14:33,1.05E+01,   0:01:04.896,9513,0.00E+00,   0:00:00.500,22
13, 5/11/2012, 1:14:38,1.04E+01,   0:01:09.938,9481,0.00E+00,   0:00:00.500,22
14, 5/11/2012, 1:14:43,1.04E+01,   0:01:15.006,9468,0.00E+00,   0:00:00.500,22
15, 5/11/2012, 1:14:48,1.04E+01,   0:01:20.055,9488,0.00E+00,   0:00:00.500,22
16, 5/11/2012, 1:14:53,1.04E+01,   0:01:25.095,9468,0.00E+00,   0:00:00.500,17
17, 5/11/2012, 1:14:58,2.95E+00,   0:01:30.138,2683,0.00E+00,   0:00:00.500,18
18, 5/11/2012, 1:15:03,5.47E+00,   0:01:35.178,4968,0.00E+00,   0:00:00.500,21
19, 5/11/2012, 1:15:08,5.70E+00,   0:01:40.214,5177,0.00E+00,   0:00:00.500,21
20, 5/11/2012, 1:15:14,5.72E+00,   0:01:45.264,5196,0.00E+00,   0:00:00.500,22
21, 5/11/2012, 1:15:19,5.72E+00,   0:01:50.306,5202,0.00E+00,   0:00:00.500,32
22, 5/11/2012, 1:15:24,5.70E+00,   0:01:55.349,5183,0.00E+00,   0:00:00.500,16
23, 5/11/2012, 1:15:29,5.70E+00,   0:02:00.389,5182,0.00E+00,   0:00:00.500,25
24, 5/11/2012, 1:15:34,5.70E+00,   0:02:05.430,5177,0.00E+00,   0:00:00.500,28
25, 5/11/2012, 1:15:39,1.13E+01,   0:02:10.478,10308,0.00E+00,   0:00:00.500,18
26, 5/11/2012, 1:15:44,1.14E+01,   0:02:15.516,10347,0.00E+00,   0:00:00.500,18
27, 5/11/2012, 1:15:49,1.14E+01,   0:02:20.553,10326,0.00E+00,   0:00:00.500,17
28, 5/11/2012, 1:15:54,1.14E+01,   0:02:25.593,10337,0.00E+00,   0:00:00.500,21
29, 5/11/2012, 1:15:59,1.14E+01,   0:02:30.642,10346,0.00E+00,   0:00:00.500,22
30, 5/11/2012, 1:16:04,1.15E+01,   0:02:35.688,10473,0.00E+00,   0:00:00.500,11
31, 5/11/2012, 1:16:09,1.14E+01,   0:02:40.728,10402,0.00E+00,   0:00:00.500,21
32, 5/11/2012, 1:16:14,1.15E+01,   0:02:45.767,10426,0.00E+00,   0:00:00.500,17
33, 5/11/2012, 1:16:19,1.15E+01,   0:02:50.807,10433,0.00E+00,   0:00:00.500,40
34, 5/11/2012, 1:16:24,1.15E+01,   0:02:55.854,10433,0.00E+00,   0:00:00.500,23
35, 5/11/2012, 1:16:29,1.14E+01,   0:03:00.915,10337,0.00E+00,   0:00:00.500,25
36, 5/11/2012, 1:16:34,1.13E+01,   0:03:05.954,10267,0.00E+00,   0:00:00.500,28
37, 5/11/2012, 1:16:39,4.77E+00,   0:03:10.997,4332,0.00E+00,   0:00:00.500,13
38, 5/11/2012, 1:16:44,4.68E+00,   0:03:16.045,4250,0.00E+00,   0:00:00.500,20
39, 5/11/2012, 1:16:49,4.68E+00,   0:03:21.094,4255,0.00E+00,   0:00:00.500,18
40, 5/11/2012, 1:16:54,4.69E+00,   0:03:26.138,4260,0.00E+00,   0:00:00.500,21
41, 5/11/2012, 1:16:59,4.68E+00,   0:03:31.182,4250,0.00E+00,   0:00:00.500,22
42, 5/11/2012, 1:17:05,4.68E+00,   0:03:36.222,4256,0.00E+00,   0:00:00.500,33
43, 5/11/2012, 1:17:10,4.67E+00,   0:03:41.261,4245,0.00E+00,   0:00:00.500,22
44, 5/11/2012, 1:17:15,4.67E+00,   0:03:46.309,4248,0.00E+00,   0:00:00.500,25
45, 5/11/2012, 1:17:20,4.66E+00,   0:03:51.353,4235,0.00E+00,   0:00:00.500,12
46, 5/11/2012, 1:17:25,4.68E+00,   0:03:56.401,4255,0.00E+00,   0:00:00.500,26
47, 5/11/2012, 1:17:30,4.68E+00,   0:04:01.437,4255,0.00E+00,   0:00:00.500,36
