duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:01:59,0.5499999999999998,0.36000000000000004,0.9099999999999999,28.0,1.560606060606061,0.0,0.17833333333333332,1.0,119.0,0.8916666666666666,1.0,1.0,-0.018333333333333313
0 days 00:02:56,3.4720000000000004,0.27,3.7420000000000004,-5.0,14.657142857142848,1.0,0.17666666666666667,2.0,176.0,7.066666666666666,2.0,2.0,3.324666666666666
0 days 00:02:00,3.13,0.31999999999999984,3.4499999999999997,6.0,9.708333333333345,7.0,0.18000000000000002,3.0,120.0,1.841666666666667,1.0,1.0,-1.6083333333333327
0 days 00:04:41,7.7,0.9199999999999995,8.62,27.0,26.584905660377146,0.0,0.17666666666666667,4.0,281.0,13.525,2.0,4.0,4.905000000000001
0 days 00:02:44,3.289999999999999,0.5159999999999996,3.8059999999999987,16.0,6.978947368421042,32.0,0.1585,5.0,164.0,5.977500000000001,2.0,3.0,2.171500000000002
0 days 00:02:46,3.8999999999999986,0.5699999999999998,4.469999999999999,1.0,0.041095890410960484,0.0,0.18000000000000002,6.0,166.0,7.200000000000001,2.0,2.0,2.730000000000002
0 days 00:06:39,8.540000000000006,1.6999999999999988,10.240000000000006,-11.0,1.0000000000001334,0.0,0.18833333333333335,7.0,399.0,15.308333333333334,3.0,4.0,5.068333333333328
0 days 00:02:21,2.640000000000004,0.33000000000000007,2.970000000000004,-1.0,7.4876543209876,11.0,0.18666666666666665,8.0,141.0,1.8666666666666665,1.0,1.0,-1.1033333333333377
0 days 00:01:51,4.987000000000002,0.5500000000000007,5.537000000000003,-14.0,8.659932659932677,0.0,0.175,9.0,111.0,4.425,1.0,1.0,-1.1120000000000028
0 days 00:01:31,5.434999999999995,0.2600000000000007,5.694999999999996,10.0,0.048387096774195164,8.0,0.037333333333333336,10.0,91.0,4.778333333333332,1.0,2.0,-0.9166666666666634
0 days 00:01:39,0.9600000000000009,0.11999999999999922,1.08,17.0,8.112903225806532,0.0,0.19166666666666668,11.0,99.0,0.9583333333333334,1.0,1.0,-0.1216666666666667
0 days 00:01:40,0.5500000000000043,0.17999999999999972,0.730000000000004,-11.0,0.10989010989016694,3.0,0.18000000000000002,12.0,100.0,0.9000000000000001,1.0,1.0,0.16999999999999615
0 days 00:01:56,3.8000000000000043,0.45999999999999996,4.260000000000004,-6.0,0.08547008547006847,0.0,0.16299999999999998,13.0,116.0,3.545833333333333,1.0,2.0,-0.7141666666666713
0 days 00:02:10,2.3200000000000003,0.2900000000000009,2.610000000000001,6.0,9.693693693693643,5.0,0.19166666666666668,14.0,130.0,2.8750000000000004,1.0,1.0,0.26499999999999924
0 days 00:02:54,3.9750000000000014,0.5600000000000005,4.535000000000002,-2.0,2.732856676000313e-13,0.0,0.17833333333333332,15.0,174.0,11.691666666666666,1.0,2.0,7.1566666666666645
0 days 00:01:24,1.5120000000000005,0.33699999999999974,1.8490000000000002,17.0,6.472727272727293,0.0,0.18833333333333335,16.0,84.0,6.583333333333334,1.0,1.0,4.734333333333334
0 days 00:01:45,3.990000000000009,0.3899999999999988,4.380000000000008,-7.0,8.176744186046395,,0.0,17.0,105.0,0.0,1.0,1.0,-4.380000000000008
0 days 00:02:49,4.2819999999999965,0.5100000000000016,4.791999999999998,16.0,1.8698493046317425e-13,7.0,0.18000000000000002,18.0,169.0,10.141666666666666,1.0,2.0,5.349666666666668
0 days 00:01:51,2.2900000000000063,0.15000000000000036,2.4400000000000066,-5.0,14.462500000000121,,0.0,19.0,111.0,0.0,1.0,1.0,-2.4400000000000066
0 days 00:00:49,0.09999999999999432,0.05000000000000071,0.14999999999999503,15.0,1.6285714285718895,,0.0,20.0,49.0,0.0,0.0,1.0,-0.14999999999999503
0 days 00:01:22,2.627999999999986,0.33000000000000007,2.957999999999986,8.0,15.635658914728163,7.0,0.07,21.0,82.0,0.35000000000000003,1.0,2.0,-2.607999999999986
