Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1,7/25/2012,1:55:53,1.00E+01,0:00:05,9111,0.00E+00,0:00:03,20
2,7/25/2012,1:55:58,6.09E+00,0:00:10,5531,7.59E-01,0:00:03,691
3,7/25/2012,1:56:09,1.00E+01,0:00:16,9121,0.00E+00,0:00:05,23
4,7/25/2012,1:56:14,1.00E+01,0:00:21,9120,0.00E+00,0:00:05,21
5,7/25/2012,1:56:19,1.00E+01,0:00:26,9112,0.00E+00,0:00:05,20
6,7/25/2012,1:56:24,1.00E+01,0:00:31,9103,0.00E+00,0:00:05,25
7,7/25/2012,1:56:29,1.00E+01,0:00:36,9117,0.00E+00,0:00:05,20
8,7/25/2012,1:56:34,1.00E+01,0:00:41,9108,0.00E+00,0:00:05,22
9,7/25/2012,1:56:39,1.00E+01,0:00:46,9098,0.00E+00,0:00:05,20
10,7/25/2012,1:56:44,9.97E+00,0:00:51,9060,0.00E+00,0:00:05,23
11,7/25/2012,1:56:49,9.95E+00,0:00:56,9047,0.00E+00,0:00:05,25
12,7/25/2012,1:56:54,9.96E+00,0:01:01,9048,0.00E+00,0:00:05,21
13,7/25/2012,1:58:00,9.85E+00,0:01:10,8951,0.00E+00,0:00:07,23
14,7/25/2012,1:58:05,9.91E+00,0:01:15,9010,0.00E+00,0:00:07,20
15,7/25/2012,1:58:10,9.91E+00,0:01:20,9003,0.00E+00,0:00:07,23
16,7/25/2012,1:58:15,9.89E+00,0:01:25,8993,0.00E+00,0:00:07,21
17,7/25/2012,1:58:20,9.89E+00,0:01:30,8992,0.00E+00,0:00:07,21
18,7/25/2012,1:58:25,9.91E+00,0:01:35,9003,0.00E+00,0:00:07,21
19,7/25/2012,1:58:31,9.87E+00,0:01:40,8973,0.00E+00,0:00:07,21
20,7/25/2012,1:58:59,9.45E+00,0:01:46,8592,0.00E+00,0:00:08,27
21,7/25/2012,1:59:04,9.39E+00,0:01:51,8532,0.00E+00,0:00:08,22
22,7/25/2012,1:59:09,9.45E+00,0:01:56,8588,0.00E+00,0:00:08,21
23,7/25/2012,1:59:14,9.50E+00,0:02:01,8635,0.00E+00,0:00:08,30
24,7/25/2012,1:59:19,9.48E+00,0:02:06,8612,0.00E+00,0:00:08,26
25,7/25/2012,1:59:24,9.46E+00,0:02:11,8602,0.00E+00,0:00:08,21
26,7/25/2012,1:59:29,9.47E+00,0:02:16,8610,0.00E+00,0:00:08,21
27,7/25/2012,2:12:04,9.96E+00,0:02:25,9055,0.00E+00,0:00:10,22
28,7/25/2012,2:12:09,9.94E+00,0:02:30,9031,0.00E+00,0:00:10,23
29,7/25/2012,2:12:14,9.94E+00,0:02:35,9030,0.00E+00,0:00:10,25
30,7/25/2012,2:12:19,9.94E+00,0:02:40,9031,0.00E+00,0:00:10,21
31,7/25/2012,2:12:24,9.93E+00,0:02:45,9025,0.00E+00,0:00:10,20
32,7/25/2012,2:12:29,9.94E+00,0:02:50,9030,0.00E+00,0:00:10,23
33,7/25/2012,2:12:34,9.92E+00,0:02:55,9015,0.00E+00,0:00:10,22
34,7/25/2012,2:12:39,9.93E+00,0:03:01,9027,0.00E+00,0:00:10,25
35,7/25/2012,2:12:45,9.93E+00,0:03:06,9021,0.00E+00,0:00:10,22
36,7/25/2012,2:12:50,9.93E+00,0:03:11,9027,0.00E+00,0:00:10,22
37,7/25/2012,2:12:55,9.92E+00,0:03:16,9013,0.00E+00,0:00:10,21
38,7/25/2012,2:13:00,9.91E+00,0:03:21,9003,0.00E+00,0:00:10,23
39,7/25/2012,2:13:05,9.91E+00,0:03:26,9011,0.00E+00,0:00:10,25
40,7/25/2012,2:13:10,9.91E+00,0:03:31,9010,0.00E+00,0:00:10,28
41,7/25/2012,2:13:15,9.91E+00,0:03:36,9010,0.00E+00,0:00:10,27
42,7/25/2012,2:13:20,9.91E+00,0:03:41,9003,0.00E+00,0:00:10,25
43,7/25/2012,2:13:25,9.91E+00,0:03:46,9011,0.00E+00,0:00:10,22
44,7/25/2012,2:13:30,9.92E+00,0:03:51,9015,0.00E+00,0:00:10,16
45,7/25/2012,2:13:35,9.92E+00,0:03:56,9013,0.00E+00,0:00:10,22
46,7/25/2012,2:13:40,9.92E+00,0:04:01,9012,0.00E+00,0:00:10,22
47,7/25/2012,2:13:45,9.90E+00,0:04:06,8996,0.00E+00,0:00:10,23
48,7/25/2012,2:13:50,9.89E+00,0:04:11,8991,0.00E+00,0:00:10,20
49,7/25/2012,2:13:55,9.89E+00,0:04:16,8991,0.00E+00,0:00:10,22
50,7/25/2012,2:14:00,9.90E+00,0:04:21,8995,0.00E+00,0:00:10,22
51,7/25/2012,2:14:05,9.90E+00,0:04:26,8997,0.00E+00,0:00:10,20
52,7/25/2012,2:14:10,9.90E+00,0:04:31,9001,0.00E+00,0:00:10,23
53,7/25/2012,2:14:15,9.89E+00,0:04:36,8985,0.00E+00,0:00:10,21
54,7/25/2012,2:14:20,9.87E+00,0:04:41,8966,0.00E+00,0:00:10,23
55,7/25/2012,2:14:25,9.97E+00,0:04:46,9058,0.00E+00,0:00:10,17
56,7/25/2012,2:14:30,9.88E+00,0:04:51,8978,0.00E+00,0:00:10,23
57,7/25/2012,2:14:36,9.88E+00,0:04:57,8978,0.00E+00,0:00:10,23
58,7/25/2012,2:14:41,9.87E+00,0:05:02,8975,0.00E+00,0:00:10,21
59,7/25/2012,2:14:46,9.88E+00,0:05:07,8981,0.00E+00,0:00:10,23
60,7/25/2012,2:14:51,9.88E+00,0:05:12,8977,0.00E+00,0:00:10,20
61,7/25/2012,2:14:56,9.86E+00,0:05:17,8962,0.00E+00,0:00:10,22
62,7/25/2012,2:15:01,9.86E+00,0:05:22,8965,0.00E+00,0:00:10,21
63,7/25/2012,2:15:06,9.86E+00,0:05:27,8966,0.00E+00,0:00:10,26
64,7/25/2012,2:15:11,9.86E+00,0:05:32,8961,0.00E+00,0:00:10,23
65,7/25/2012,2:15:16,9.86E+00,0:05:37,8965,0.00E+00,0:00:10,25
66,7/25/2012,2:15:21,9.87E+00,0:05:42,8967,0.00E+00,0:00:10,27
67,7/25/2012,2:29:51,1.07E+01,0:05:51,9746,0.00E+00,0:00:15,23
68,7/25/2012,2:29:56,1.11E+01,0:05:56,10076,0.00E+00,0:00:15,22
69,7/25/2012,2:30:01,1.21E+01,0:06:01,10971,0.00E+00,0:00:15,26
70,7/25/2012,2:30:06,1.09E+01,0:06:06,9920,0.00E+00,0:00:15,21
71,7/25/2012,2:30:11,1.09E+01,0:06:11,9926,0.00E+00,0:00:15,22
72,7/25/2012,2:33:35,1.08E+01,0:06:19,9805,0.00E+00,0:00:17,17
73,7/25/2012,2:40:42,3.65E+00,0:06:32,3315,0.00E+00,0:00:21,21
74,7/25/2012,2:40:51,3.52E+00,0:06:41,3197,0.00E+00,0:00:21,22
75,7/25/2012,2:40:56,3.05E+00,0:06:46,2778,0.00E+00,0:00:21,23
76,7/25/2012,2:48:52,1.07E+01,0:06:57,9722,0.00E+00,0:00:23,18
77,7/25/2012,2:48:57,1.07E+01,0:07:02,9691,0.00E+00,0:00:23,25
78,7/25/2012,2:49:02,1.07E+01,0:07:07,9688,0.00E+00,0:00:23,17
79,7/25/2012,2:49:07,1.07E+01,0:07:12,9695,0.00E+00,0:00:23,25
80,7/25/2012,2:49:12,1.07E+01,0:07:17,9701,0.00E+00,0:00:23,23
81,7/25/2012,2:49:17,1.07E+01,0:07:22,9697,0.00E+00,0:00:23,26
82,7/25/2012,2:49:22,1.07E+01,0:07:28,9685,0.00E+00,0:00:23,21
83,7/25/2012,2:49:27,1.07E+01,0:07:33,9702,0.00E+00,0:00:23,23
84,7/25/2012,2:49:32,1.07E+01,0:07:38,9687,0.00E+00,0:00:23,25
85,7/25/2012,2:49:38,1.06E+01,0:07:43,9646,0.00E+00,0:00:23,22
86,7/25/2012,2:49:43,1.05E+01,0:07:48,9502,0.00E+00,0:00:23,22
87,7/25/2012,2:49:48,6.09E+00,0:07:53,5496,8.42E-01,0:00:23,767
