date,time,weight
15.03.2021,10:49:20,0.28
15.03.2021,10:49:21,0.28
15.03.2021,10:49:22,0.28
15.03.2021,10:49:23,0.28
15.03.2021,10:49:24,0.28
15.03.2021,10:49:25,0.28
15.03.2021,10:49:26,0.28
15.03.2021,10:49:27,0.28
15.03.2021,10:49:28,0.28
15.03.2021,10:49:29,0.28
15.03.2021,10:49:30,0.28
15.03.2021,10:49:31,0.28
15.03.2021,10:49:32,0.28
15.03.2021,10:49:33,0.28
15.03.2021,10:49:34,0.28
15.03.2021,10:49:36,0.28
15.03.2021,10:49:37,0.28
15.03.2021,10:49:38,0.28
15.03.2021,10:49:39,0.28
15.03.2021,10:49:40,0.28
15.03.2021,10:49:41,0.28
15.03.2021,10:49:42,0.28
15.03.2021,10:49:43,0.28
15.03.2021,10:49:44,0.28
15.03.2021,10:49:45,0.28
15.03.2021,10:49:46,0.28
15.03.2021,10:49:47,0.28
15.03.2021,10:50:52,0.26
15.03.2021,10:50:53,0.26
15.03.2021,10:50:54,0.26
15.03.2021,10:50:55,0.26
15.03.2021,10:50:56,0.26
15.03.2021,10:50:57,0.28
15.03.2021,10:50:58,0.3
15.03.2021,10:50:59,0.32
15.03.2021,10:51:00,0.34
15.03.2021,10:51:01,0.36
15.03.2021,10:51:02,0.36
15.03.2021,10:51:04,0.39
15.03.2021,10:51:05,0.4
15.03.2021,10:51:06,0.41
15.03.2021,10:51:07,0.41
15.03.2021,10:51:08,0.42
15.03.2021,10:51:09,0.42
15.03.2021,10:51:10,0.42
15.03.2021,10:51:11,0.42
15.03.2021,10:51:12,0.42
15.03.2021,10:51:13,0.43
15.03.2021,10:51:14,0.43
15.03.2021,10:51:15,0.43
15.03.2021,10:51:16,0.43
15.03.2021,10:51:17,0.43
15.03.2021,10:51:18,0.43
15.03.2021,10:51:19,0.43
15.03.2021,10:51:20,0.43
15.03.2021,10:51:22,0.44
15.03.2021,10:51:23,0.45
15.03.2021,10:51:24,0.46
15.03.2021,10:51:25,0.47
15.03.2021,10:51:26,0.47
15.03.2021,10:51:27,0.49
15.03.2021,10:51:28,0.51
15.03.2021,10:51:29,0.53
15.03.2021,10:51:30,0.54
15.03.2021,10:51:31,0.55
15.03.2021,10:51:32,0.56
15.03.2021,10:51:33,0.56
15.03.2021,10:51:34,0.58
15.03.2021,10:51:35,0.6
15.03.2021,10:51:36,0.61
15.03.2021,10:51:37,0.61
15.03.2021,10:51:38,0.61
15.03.2021,10:51:40,0.63
15.03.2021,10:51:41,0.64
15.03.2021,10:51:42,0.66
15.03.2021,10:51:43,0.67
15.03.2021,10:51:44,0.68
15.03.2021,10:51:45,0.69
15.03.2021,10:51:46,0.69
15.03.2021,10:51:47,0.7
15.03.2021,10:51:48,0.72
15.03.2021,10:51:49,0.72
15.03.2021,10:51:50,0.75
15.03.2021,10:51:51,0.77
15.03.2021,10:51:52,0.78
15.03.2021,10:51:53,0.79
15.03.2021,10:51:54,0.8
15.03.2021,10:51:55,0.8
15.03.2021,10:51:56,0.8
15.03.2021,10:51:58,0.81
15.03.2021,10:51:59,0.81
15.03.2021,10:52:00,0.81
15.03.2021,10:52:01,0.81
15.03.2021,10:52:02,0.81
15.03.2021,10:52:03,0.81
15.03.2021,10:52:04,0.81
15.03.2021,10:52:05,0.81
15.03.2021,10:52:06,0.81
15.03.2021,10:52:07,0.81
15.03.2021,10:52:08,0.81
15.03.2021,10:52:09,0.81
15.03.2021,10:52:10,0.81
15.03.2021,10:52:11,0.82
15.03.2021,10:52:12,0.82
15.03.2021,10:52:13,0.82
15.03.2021,10:52:14,0.82
15.03.2021,10:52:16,0.85
15.03.2021,10:52:17,0.86
15.03.2021,10:52:18,0.88
15.03.2021,10:52:19,0.91
15.03.2021,10:52:20,0.94
15.03.2021,10:52:21,0.97
15.03.2021,10:52:22,0.99
15.03.2021,10:52:23,1.01
15.03.2021,10:52:24,1.01
15.03.2021,10:52:25,1.02
15.03.2021,10:52:26,1.03
15.03.2021,10:52:27,1.03
15.03.2021,10:52:28,1.03
15.03.2021,10:52:29,1.04
15.03.2021,10:52:30,1.04
15.03.2021,10:52:31,1.04
15.03.2021,10:52:32,1.04
15.03.2021,10:52:33,1.04
15.03.2021,10:52:35,1.04
15.03.2021,10:52:36,1.04
15.03.2021,10:52:37,1.04
15.03.2021,10:52:38,1.04
15.03.2021,10:52:39,1.05
15.03.2021,10:52:40,1.05
15.03.2021,10:52:41,1.05
15.03.2021,10:52:42,1.05
15.03.2021,10:52:43,1.05
15.03.2021,10:52:44,1.05
15.03.2021,10:52:45,1.05
15.03.2021,10:52:46,1.05
15.03.2021,10:52:47,1.05
15.03.2021,10:52:48,1.05
15.03.2021,10:52:49,1.05
15.03.2021,10:52:50,1.05
15.03.2021,10:52:51,1.05
15.03.2021,10:52:53,1.05
15.03.2021,10:52:54,1.05
15.03.2021,10:52:55,1.05
15.03.2021,10:52:56,1.05
15.03.2021,10:52:57,1.05
15.03.2021,10:52:58,1.05
15.03.2021,10:52:59,1.05
15.03.2021,10:53:00,1.05
15.03.2021,10:53:01,1.05
15.03.2021,10:53:02,1.06
15.03.2021,10:53:03,1.06
15.03.2021,10:53:04,1.06
15.03.2021,10:53:05,1.06
15.03.2021,10:53:06,1.06
15.03.2021,10:53:07,1.06
15.03.2021,10:53:08,1.06
15.03.2021,10:53:09,1.06
15.03.2021,10:53:11,1.06
15.03.2021,10:53:12,1.06
15.03.2021,10:53:13,1.06
15.03.2021,10:53:14,1.06
15.03.2021,10:53:15,1.06
15.03.2021,10:53:16,1.06
15.03.2021,10:53:17,1.06
15.03.2021,10:53:18,1.06
15.03.2021,10:53:19,1.06
15.03.2021,10:53:20,1.06
15.03.2021,10:53:21,1.06
15.03.2021,10:53:22,1.06
15.03.2021,10:53:23,1.06
15.03.2021,10:53:24,1.06
15.03.2021,10:53:25,1.06
15.03.2021,10:53:26,1.06
15.03.2021,10:53:27,1.06
15.03.2021,10:53:29,1.06
15.03.2021,10:53:30,1.06
15.03.2021,10:53:31,1.06
15.03.2021,10:53:32,1.06
15.03.2021,10:53:33,1.06
15.03.2021,10:53:34,1.06
15.03.2021,10:53:35,1.06
15.03.2021,10:53:36,1.06
15.03.2021,10:53:37,1.06
15.03.2021,10:53:38,1.06
15.03.2021,10:53:39,1.06
15.03.2021,10:53:40,1.06
15.03.2021,10:53:41,1.06
15.03.2021,10:53:42,1.06
15.03.2021,10:53:43,1.06
15.03.2021,10:53:44,1.06
15.03.2021,10:53:45,1.06
15.03.2021,10:53:47,1.06
15.03.2021,10:53:48,1.07
15.03.2021,10:53:49,1.07
15.03.2021,10:53:50,1.07
15.03.2021,10:53:51,1.07
15.03.2021,10:53:52,1.07
15.03.2021,10:53:53,1.07
15.03.2021,10:53:54,1.07
15.03.2021,10:53:55,1.07
15.03.2021,10:53:56,1.07
15.03.2021,10:53:57,1.07
15.03.2021,10:53:58,1.07
15.03.2021,10:53:59,1.07
15.03.2021,10:54:00,1.07
15.03.2021,10:54:01,1.07
15.03.2021,10:54:02,1.07
15.03.2021,10:54:03,1.07
15.03.2021,10:54:05,1.07
15.03.2021,10:54:06,1.07
15.03.2021,10:54:07,1.07
15.03.2021,10:54:08,1.07
15.03.2021,10:54:09,1.07
15.03.2021,10:54:10,1.07
15.03.2021,10:54:11,1.07
15.03.2021,10:54:12,1.07
15.03.2021,10:54:13,1.07
15.03.2021,10:54:14,1.07
15.03.2021,10:54:15,1.07
15.03.2021,10:54:16,1.07
15.03.2021,10:54:17,1.07
15.03.2021,10:54:18,1.07
15.03.2021,10:54:19,1.07
15.03.2021,10:54:20,1.07
15.03.2021,10:54:21,1.07
15.03.2021,10:54:22,1.07
15.03.2021,10:54:24,1.08
15.03.2021,10:54:25,1.08
15.03.2021,10:54:26,1.08
15.03.2021,10:54:27,1.08
15.03.2021,10:54:28,1.08
15.03.2021,10:54:29,1.08
15.03.2021,10:54:30,1.08
15.03.2021,10:54:31,1.08
15.03.2021,10:54:32,1.08
15.03.2021,10:54:33,1.08
15.03.2021,10:54:34,1.08
15.03.2021,10:54:35,1.08
15.03.2021,10:54:36,1.08
15.03.2021,10:54:37,1.08
15.03.2021,10:54:38,1.08
15.03.2021,10:54:39,1.08
15.03.2021,10:54:40,1.08
15.03.2021,10:54:42,1.08
15.03.2021,10:54:43,1.08
15.03.2021,10:54:44,1.08
15.03.2021,10:54:45,1.08
15.03.2021,10:54:46,1.08
15.03.2021,10:54:47,1.08
15.03.2021,10:54:48,1.08
15.03.2021,10:54:49,1.08
15.03.2021,10:54:50,1.08
15.03.2021,10:54:51,1.08
15.03.2021,10:54:52,1.08
15.03.2021,10:54:53,1.08
15.03.2021,10:54:54,1.08
15.03.2021,10:54:55,1.08
15.03.2021,10:54:56,1.08
15.03.2021,10:54:57,1.08
15.03.2021,10:54:58,1.08
15.03.2021,10:55:00,1.08
15.03.2021,10:55:01,1.08
15.03.2021,10:55:02,1.08
15.03.2021,10:55:03,1.08
15.03.2021,10:55:04,1.08
15.03.2021,10:55:05,1.08
15.03.2021,10:55:06,1.08
15.03.2021,10:55:07,1.08
15.03.2021,10:55:08,1.08
15.03.2021,10:55:09,1.08
15.03.2021,10:55:10,1.08
15.03.2021,10:55:11,1.08
15.03.2021,10:55:12,1.08
15.03.2021,10:55:13,1.08
15.03.2021,10:55:14,1.08
15.03.2021,10:55:15,1.08
15.03.2021,10:55:16,1.08
15.03.2021,10:55:18,1.08
15.03.2021,10:55:19,1.08
15.03.2021,10:55:20,1.08
15.03.2021,10:55:21,1.08
15.03.2021,10:55:22,1.08
15.03.2021,10:55:23,1.08
15.03.2021,10:55:24,1.08
15.03.2021,10:55:25,1.08
15.03.2021,10:55:26,1.08
15.03.2021,10:55:27,1.08
15.03.2021,10:55:28,1.08
15.03.2021,10:55:29,1.08
15.03.2021,10:55:30,1.08
15.03.2021,10:55:31,1.08
15.03.2021,10:55:32,1.08
15.03.2021,10:55:33,1.08
15.03.2021,10:55:34,1.08
15.03.2021,10:55:36,1.08
15.03.2021,10:55:37,1.08
15.03.2021,10:55:38,1.08
15.03.2021,10:55:39,1.08
15.03.2021,10:55:40,1.08
15.03.2021,10:55:41,1.08
15.03.2021,10:55:42,1.08
15.03.2021,10:55:43,1.08
