event_num,duration,duration(s),ft_change,ut_change,tank_change,flowmeter,flowmeter-tank,num_max_feces,num_max_urine,urine_first,slope_ratio,,,,,Total tank volume
1,0 days 00:01:58,118,5.161,0.65,5.811,8.763406667,2.952406667,1,2,1,7.82,,,,Scale,110.6
2,0 days 00:00:43,43,0.03,0.13,0.16,3.144366667,2.984366667,0,1,0,,,,,Flowmeter,154.3
3,0 days 00:03:15,195,2.25,0.42,2.67,2.518283333,-0.151716667,2,2,0, 6.372641509433967 2.2704225352112677,,,,,
4,0 days 00:01:38,98,2.004,0.24,2.244,0,-2.244,1,1,0,8.30472103,,,,,
5,0 days 00:07:31,451,6.91,0.82,7.73,19.05022333,11.32022333,1,1,1,7.024547804,,,,,
6,0 days 00:06:11,371,0.3,0.06,0.36,0.9114,0.5514,0,0,0,,,,,,
7,0 days 00:02:09,129,0.59,0.04,0.63,6.592806667,5.962806667,0,0,1,,,,,,
8,0 days 00:02:34,154,0.94,0.163,1.103,3.29076,2.18776,1,1,0,5.16,,,,,
9,0 days 00:02:22,142,0.14,0.002,0.142,3.097956667,2.955956667,0,0,0,,,,,,
10,0 days 00:02:15,135,2.75,0.17,2.92,2.69786,-0.22214,1,1,1,13.64666667,,,,,
11,0 days 00:01:30,90,4.188,0.273,4.461,4.85748,0.39648,1,1,0,15.24074074,,,,,
12,0 days 00:01:54,114,0.54,0.01,0.55,6.883033333,6.333033333,1,0,1,,,,,,
13,0 days 00:02:53,173,9.33,0.734,10.064,7.885563333,-2.178436667,2,2,1, 14.490740740740732 10.045454545454554,,,,,
14,0 days 00:02:11,131,2.35,0.6,2.95,3.475693333,0.525693333,1,1,1,3.784786642,,,,,
15,0 days 00:02:37,157,6.44,0.85,7.29,9.37232,2.08232,1,1,0,7.520238095,,,,,
16,0 days 00:01:39,99,0.711,0.14,0.851,1.122763333,0.271763333,1,1,0,15.04545455,,,,,
17,0 days 00:02:49,169,4.483,0.82,5.303,6.112913333,0.809913333,1,2,1,5.268803946,,,,,
18,0 days 00:03:03,183,1.457,0.27,1.727,4.572636667,2.845636667,1,3,0,4.539772727,,,,,
19,0 days 00:03:21,201,5.17,0.74,5.91,6.00883,0.09883,1,3,1,6.857534247,,,,,
20,0 days 00:08:44,524,13.88,0.96,14.84,16.13303667,1.293036667,5,5,0, 13.369863013699032 -19.84507042253492 -9.198412698412609 -8.0 23.62841530054646,,,,,
21,0 days 00:02:20,140,3.21,0.608,3.818,5.659163333,1.841163333,0,2,1,,,,,,
22,0 days 00:02:44,164,6.78,0.75,7.53,9.419993333,1.889993333,2,2,1, 9.55319148936171 6.80616740088105,,,,,
23,0 days 00:02:29,149,4.4,0.69,5.09,2.44102,-2.64898,2,2,0, 3.030927835051571 12.346666666666737,,,,,
24,0 days 00:01:29,89,0.7,0.14,0.84,1.48543,0.64543,1,0,1,,,,,,
25,0 days 00:01:26,86,0.96,0.16,1.12,4.04739,2.92739,1,1,0,5.906666667,,,,,
26,0 days 00:03:10,190,6.02,1.05,7.07,11.12690667,4.056906667,1,1,0,6.103286385,,,,,
27,0 days 00:03:30,210,4.734,0.74,5.474,2.567626667,-2.906373333,2,2,1, 2.079601990049796 11.697802197802257,,,,,
