date,time,weight
30.09.2020,12:13:16 AM,0.24
30.09.2020,12:13:17 AM,0.24
30.09.2020,12:13:18 AM,0.24
30.09.2020,12:13:19 AM,0.24
30.09.2020,12:13:20 AM,0.24
30.09.2020,12:13:21 AM,0.24
30.09.2020,12:13:22 AM,0.24
30.09.2020,12:13:23 AM,0.24
30.09.2020,12:13:24 AM,0.24
30.09.2020,12:13:25 AM,0.24
30.09.2020,12:13:26 AM,0.24
30.09.2020,12:13:27 AM,0.24
30.09.2020,12:13:28 AM,0.24
30.09.2020,12:13:29 AM,0.24
30.09.2020,12:13:30 AM,0.24
30.09.2020,12:13:31 AM,0.24
30.09.2020,12:13:33 AM,0.24
30.09.2020,12:13:33 AM,0.24
30.09.2020,12:13:34 AM,0.24
30.09.2020,12:13:36 AM,0.24
30.09.2020,12:13:37 AM,0.24
30.09.2020,12:13:38 AM,0.24
30.09.2020,12:13:39 AM,0.24
30.09.2020,12:13:40 AM,0.24
30.09.2020,12:13:41 AM,0.24
30.09.2020,12:13:42 AM,0.24
30.09.2020,12:13:43 AM,0.25
30.09.2020,12:13:44 AM,0.24
30.09.2020,12:13:45 AM,0.24
30.09.2020,12:13:46 AM,0.24
30.09.2020,12:13:47 AM,0.24
30.09.2020,12:13:48 AM,0.24
30.09.2020,12:13:49 AM,0.25
30.09.2020,12:13:50 AM,0.25
30.09.2020,12:13:51 AM,0.25
30.09.2020,12:13:52 AM,0.25
30.09.2020,12:13:53 AM,0.25
30.09.2020,12:13:54 AM,0.25
30.09.2020,12:13:55 AM,0.25
30.09.2020,12:13:56 AM,0.25
30.09.2020,12:13:57 AM,0.25
30.09.2020,12:13:58 AM,0.25
30.09.2020,12:13:59 AM,0.25
30.09.2020,12:14:00 AM,0.25
30.09.2020,12:14:01 AM,0.25
30.09.2020,12:14:02 AM,0.25
30.09.2020,12:14:03 AM,0.25
30.09.2020,12:14:05 AM,0.25
30.09.2020,12:14:05 AM,0.25
30.09.2020,12:14:07 AM,0.25
30.09.2020,12:14:08 AM,0.25
30.09.2020,12:14:09 AM,0.25
30.09.2020,12:14:10 AM,0.25
30.09.2020,12:14:11 AM,0.25
30.09.2020,12:14:12 AM,0.25
30.09.2020,12:14:13 AM,0.25
30.09.2020,12:14:14 AM,0.25
30.09.2020,12:14:15 AM,0.25
30.09.2020,12:14:16 AM,0.25
30.09.2020,12:14:17 AM,0.25
30.09.2020,12:14:18 AM,0.25
30.09.2020,12:14:19 AM,0.25
30.09.2020,12:14:20 AM,0.26
30.09.2020,12:14:21 AM,0.26
30.09.2020,12:14:22 AM,0.26
30.09.2020,12:14:23 AM,0.26
30.09.2020,12:14:24 AM,0.26
30.09.2020,12:14:25 AM,0.26
30.09.2020,12:14:26 AM,0.26
30.09.2020,12:14:27 AM,0.26
30.09.2020,12:14:28 AM,0.26
30.09.2020,12:14:29 AM,0.26
30.09.2020,12:14:30 AM,0.26
30.09.2020,12:14:31 AM,0.26
30.09.2020,12:14:32 AM,0.26
30.09.2020,12:14:33 AM,0.26
30.09.2020,12:14:34 AM,0.26
30.09.2020,12:14:35 AM,0.26
30.09.2020,12:14:36 AM,0.26
30.09.2020,12:14:37 AM,0.26
30.09.2020,12:14:39 AM,0.26
30.09.2020,12:14:40 AM,0.26
30.09.2020,12:14:41 AM,0.14
30.09.2020,12:14:42 AM,0.4
30.09.2020,12:14:43 AM,0.66
30.09.2020,12:14:44 AM,1
30.09.2020,12:14:45 AM,1.52
30.09.2020,12:14:46 AM,1.83
30.09.2020,12:14:47 AM,2.01
30.09.2020,12:14:48 AM,2.14
30.09.2020,12:14:49 AM,2.33
30.09.2020,12:14:50 AM,2.37
30.09.2020,12:14:51 AM,2.47
30.09.2020,12:14:52 AM,2.5
30.09.2020,12:14:53 AM,2.52
30.09.2020,12:14:54 AM,2.57
30.09.2020,12:14:55 AM,2.61
30.09.2020,12:14:56 AM,2.64
30.09.2020,12:14:57 AM,2.68
30.09.2020,12:14:58 AM,2.68
30.09.2020,12:14:59 AM,2.7
30.09.2020,12:15:00 AM,2.72
30.09.2020,12:15:01 AM,2.73
30.09.2020,12:15:02 AM,2.75
30.09.2020,12:15:03 AM,2.76
30.09.2020,12:15:04 AM,2.78
30.09.2020,12:15:05 AM,2.79
30.09.2020,12:15:06 AM,2.8
30.09.2020,12:15:07 AM,2.81
30.09.2020,12:15:09 AM,2.82
30.09.2020,12:15:10 AM,2.82
30.09.2020,12:15:11 AM,2.83
30.09.2020,12:15:12 AM,2.83
30.09.2020,12:15:13 AM,2.83
30.09.2020,12:15:14 AM,2.84
30.09.2020,12:15:15 AM,2.86
30.09.2020,12:15:16 AM,2.89
30.09.2020,12:15:17 AM,3.02
30.09.2020,12:15:18 AM,3.02
30.09.2020,12:15:19 AM,3.18
30.09.2020,12:15:20 AM,3.21
30.09.2020,12:15:21 AM,3.34
30.09.2020,12:15:22 AM,3.66
30.09.2020,12:15:23 AM,4.19
30.09.2020,12:15:24 AM,5.3
30.09.2020,12:15:25 AM,6.08
30.09.2020,12:15:26 AM,6.87
30.09.2020,12:15:27 AM,7.44
30.09.2020,12:15:28 AM,7.75
30.09.2020,12:15:29 AM,8.06
30.09.2020,12:15:30 AM,8.33
30.09.2020,12:15:31 AM,8.43
30.09.2020,12:15:32 AM,8.61
30.09.2020,12:15:33 AM,8.8
30.09.2020,12:15:34 AM,8.92
30.09.2020,12:15:35 AM,8.92
30.09.2020,12:15:36 AM,9.05
30.09.2020,12:15:37 AM,9.07
30.09.2020,12:15:39 AM,9.1
30.09.2020,12:15:40 AM,9.1
30.09.2020,12:15:41 AM,9.38
30.09.2020,12:15:42 AM,9.68
30.09.2020,12:15:43 AM,10.08
30.09.2020,12:15:44 AM,10.19
30.09.2020,12:15:45 AM,10.39
30.09.2020,12:15:46 AM,10.59
30.09.2020,12:15:47 AM,10.77
30.09.2020,12:15:48 AM,10.95
30.09.2020,12:15:49 AM,10.95
30.09.2020,12:15:50 AM,11.11
30.09.2020,12:15:51 AM,11.15
30.09.2020,12:15:52 AM,11.25
30.09.2020,12:15:53 AM,11.27
30.09.2020,12:15:54 AM,11.3
30.09.2020,12:15:55 AM,11.35
30.09.2020,12:15:56 AM,11.38
30.09.2020,12:15:57 AM,11.4
30.09.2020,12:15:58 AM,11.52
30.09.2020,12:15:59 AM,11.53
30.09.2020,12:16:00 AM,11.71
30.09.2020,12:16:01 AM,11.86
30.09.2020,12:16:02 AM,11.97
30.09.2020,12:16:03 AM,12.03
30.09.2020,12:16:04 AM,12.18
30.09.2020,12:16:05 AM,12.2
30.09.2020,12:16:06 AM,12.34
30.09.2020,12:16:07 AM,12.39
30.09.2020,12:16:08 AM,12.5
30.09.2020,12:16:09 AM,12.52
30.09.2020,12:16:10 AM,12.55
30.09.2020,12:16:12 AM,12.61
30.09.2020,12:16:13 AM,12.65
30.09.2020,12:16:14 AM,12.69
30.09.2020,12:16:15 AM,12.73
30.09.2020,12:16:16 AM,12.77
30.09.2020,12:16:17 AM,12.79
30.09.2020,12:16:18 AM,12.79
30.09.2020,12:16:19 AM,12.81
30.09.2020,12:16:20 AM,12.83
30.09.2020,12:16:21 AM,12.85
30.09.2020,12:16:22 AM,12.86
30.09.2020,12:16:23 AM,12.88
30.09.2020,12:16:24 AM,12.89
30.09.2020,12:16:25 AM,12.9
30.09.2020,12:16:26 AM,12.92
30.09.2020,12:16:27 AM,12.93
30.09.2020,12:16:28 AM,12.94
30.09.2020,12:16:29 AM,12.94
30.09.2020,12:16:30 AM,12.95
30.09.2020,12:16:31 AM,12.96
30.09.2020,12:16:32 AM,12.96
30.09.2020,12:16:33 AM,12.97
30.09.2020,12:16:34 AM,12.98
30.09.2020,12:16:35 AM,12.99
30.09.2020,12:16:36 AM,12.99
30.09.2020,12:16:37 AM,13
30.09.2020,12:16:38 AM,13
30.09.2020,12:16:39 AM,13.01
30.09.2020,12:16:40 AM,13.01
30.09.2020,12:16:41 AM,13.02
30.09.2020,12:16:42 AM,13.02
30.09.2020,12:16:43 AM,13.02
30.09.2020,12:16:45 AM,13.03
30.09.2020,12:16:46 AM,13.03
30.09.2020,12:16:47 AM,13.04
30.09.2020,12:16:48 AM,13.04
30.09.2020,12:16:49 AM,13.04
30.09.2020,12:16:50 AM,13.05
30.09.2020,12:16:51 AM,13.05
30.09.2020,12:16:52 AM,13.05
30.09.2020,12:16:53 AM,13.05
30.09.2020,12:16:54 AM,13.06
30.09.2020,12:16:55 AM,13.06
30.09.2020,12:16:56 AM,13.06
30.09.2020,12:16:57 AM,13.07
30.09.2020,12:16:58 AM,13.07
30.09.2020,12:16:59 AM,13.07
30.09.2020,12:17:00 AM,13.08
30.09.2020,12:17:01 AM,13.08
30.09.2020,12:17:02 AM,13.08
30.09.2020,12:17:03 AM,13.08
30.09.2020,12:17:04 AM,13.08
30.09.2020,12:17:05 AM,13.08
30.09.2020,12:17:06 AM,13.08
30.09.2020,12:17:07 AM,13.09
30.09.2020,12:17:08 AM,13.09
30.09.2020,12:17:09 AM,13.09
30.09.2020,12:17:10 AM,13.09
30.09.2020,12:17:11 AM,13.09
30.09.2020,12:17:12 AM,13.1
30.09.2020,12:17:14 AM,13.1
30.09.2020,12:17:15 AM,13.1
30.09.2020,12:17:16 AM,13.1
30.09.2020,12:17:17 AM,13.1
30.09.2020,12:17:18 AM,13.11
30.09.2020,12:17:19 AM,13.11
30.09.2020,12:17:20 AM,13.11
30.09.2020,12:17:21 AM,13.11
30.09.2020,12:17:22 AM,13.11
30.09.2020,12:17:23 AM,13.11
30.09.2020,12:17:24 AM,13.12
30.09.2020,12:17:25 AM,13.12
30.09.2020,12:17:26 AM,13.12
30.09.2020,12:17:27 AM,13.12
30.09.2020,12:17:28 AM,13.12
30.09.2020,12:17:29 AM,13.12
30.09.2020,12:17:30 AM,13.12
30.09.2020,12:17:31 AM,13.12
30.09.2020,12:17:32 AM,13.12
30.09.2020,12:17:33 AM,13.12
30.09.2020,12:17:34 AM,13.12
30.09.2020,12:17:35 AM,13.13
30.09.2020,12:17:36 AM,13.13
30.09.2020,12:17:37 AM,13.13
30.09.2020,12:17:38 AM,13.13
30.09.2020,12:17:39 AM,13.13
30.09.2020,12:17:40 AM,13.13
30.09.2020,12:17:41 AM,13.13
30.09.2020,12:17:42 AM,13.13
30.09.2020,12:17:43 AM,13.14
30.09.2020,12:17:45 AM,13.14
30.09.2020,12:17:45 AM,13.14
30.09.2020,12:17:46 AM,13.14
30.09.2020,12:17:48 AM,13.14
30.09.2020,12:17:49 AM,13.14
30.09.2020,12:17:50 AM,13.14
30.09.2020,12:17:51 AM,13.14
30.09.2020,12:17:52 AM,13.14
30.09.2020,12:17:53 AM,13.15
30.09.2020,12:17:54 AM,13.15
30.09.2020,12:17:55 AM,13.15
30.09.2020,12:17:56 AM,13.15
30.09.2020,12:17:57 AM,13.15
30.09.2020,12:17:58 AM,13.15
30.09.2020,12:17:59 AM,13.15
30.09.2020,12:18:00 AM,13.15
30.09.2020,12:18:01 AM,13.15
30.09.2020,12:18:02 AM,13.15
30.09.2020,12:18:03 AM,13.15
30.09.2020,12:18:04 AM,13.16
30.09.2020,12:18:05 AM,13.16
30.09.2020,12:18:06 AM,13.16
30.09.2020,12:18:07 AM,13.16
30.09.2020,12:18:08 AM,13.16
30.09.2020,12:18:09 AM,13.16
30.09.2020,12:18:10 AM,13.16
