Record,date,time,STALL1,STALL1_duration,STALL1 DIG,DUKE,DUKE,DUKE DIG
1, 4/21/2012, 1:59:01,1.09E+01,   0:00:05.002,9937,0.00E+00,   0:00:00.000,12
2, 4/21/2012, 1:59:06,1.05E+01,   0:00:10.018,9552,0.00E+00,   0:00:00.000,18
3, 4/21/2012, 1:59:11,1.07E+01,   0:00:15.058,9687,0.00E+00,   0:00:00.000,21
4, 4/21/2012, 1:59:16,1.07E+01,   0:00:20.096,9683,0.00E+00,   0:00:00.000,25
5, 4/21/2012, 1:59:21,1.02E+01,   0:00:25.135,9265,0.00E+00,   0:00:00.000,16
6, 4/21/2012, 2:02:59,8.15E+00,   0:00:33.450,7403,0.00E+00,   0:00:00.000,10
7, 4/21/2012, 2:03:04,8.08E+00,   0:00:38.493,7342,0.00E+00,   0:00:00.000,21
8, 4/21/2012, 2:03:09,8.02E+00,   0:00:43.559,7286,0.00E+00,   0:00:00.000,22
9, 4/21/2012, 2:03:14,8.11E+00,   0:00:48.608,7362,0.00E+00,   0:00:00.000,21
10, 4/21/2012, 2:03:19,2.80E+00,   0:00:53.657,2543,0.00E+00,   0:00:00.000,18
11, 4/21/2012, 2:06:19,1.08E+01,   0:00:58.986,9840,0.00E+00,   0:00:00.000,26
12, 4/21/2012, 2:06:25,1.08E+01,   0:01:04.003,9821,0.00E+00,   0:00:00.000,28
13, 4/21/2012, 2:06:30,1.08E+01,   0:01:09.044,9825,0.00E+00,   0:00:00.000,18
14, 4/21/2012, 2:06:35,1.08E+01,   0:01:14.083,9820,0.00E+00,   0:00:00.000,17
15, 4/21/2012, 2:06:40,1.07E+01,   0:01:19.134,9713,0.00E+00,   0:00:00.000,17
16, 4/21/2012, 2:10:26,1.07E+01,   0:01:25.332,9756,0.00E+00,   0:00:00.000,27
17, 4/21/2012, 2:10:31,1.07E+01,   0:01:30.347,9731,0.00E+00,   0:00:00.000,17
18, 4/21/2012, 2:10:36,1.07E+01,   0:01:35.387,9736,0.00E+00,   0:00:00.000,27
19, 4/21/2012, 2:10:41,1.07E+01,   0:01:40.427,9745,0.00E+00,   0:00:00.000,17
20, 4/21/2012, 2:10:46,1.07E+01,   0:01:45.478,9732,0.00E+00,   0:00:00.000,22
21, 4/21/2012, 2:10:51,1.07E+01,   0:01:50.517,9728,0.00E+00,   0:00:00.000,17
22, 4/21/2012, 2:10:56,1.07E+01,   0:01:55.558,9717,0.00E+00,   0:00:00.000,21
23, 4/21/2012, 2:11:01,1.07E+01,   0:02:00.608,9731,0.00E+00,   0:00:00.000,18
24, 4/21/2012, 2:11:06,1.07E+01,   0:02:05.649,9730,0.00E+00,   0:00:00.000,18
25, 4/21/2012, 2:11:11,1.07E+01,   0:02:10.720,9731,0.00E+00,   0:00:00.000,25
26, 4/21/2012, 2:11:16,1.07E+01,   0:02:15.759,9735,0.00E+00,   0:00:00.000,21
27, 4/21/2012, 2:11:29,9.95E+00,   0:02:24.311,9042,0.00E+00,   0:00:00.000,18
28, 4/21/2012, 2:11:34,9.91E+00,   0:02:29.349,9007,0.00E+00,   0:00:00.000,17
29, 4/21/2012, 2:14:42,1.10E+01,   0:02:37.621,9973,0.00E+00,   0:00:00.000,27
30, 4/21/2012, 2:14:47,1.10E+01,   0:02:42.639,9958,0.00E+00,   0:00:00.000,20
31, 4/21/2012, 2:14:53,1.10E+01,   0:02:47.678,9963,0.00E+00,   0:00:00.000,25
32, 4/21/2012, 2:24:50,4.29E+00,   0:03:03.796,3898,0.00E+00,   0:00:00.000,22
33, 4/21/2012, 2:25:00,4.23E+00,   0:03:12.612,3846,0.00E+00,   0:00:00.000,21
34, 4/21/2012, 2:25:05,4.09E+00,   0:03:17.670,3717,0.00E+00,   0:00:00.000,25
35, 4/21/2012, 2:25:10,4.03E+00,   0:03:22.709,3661,0.00E+00,   0:00:00.000,17
36, 4/21/2012, 2:25:15,4.00E+00,   0:03:27.748,3640,0.00E+00,   0:00:00.000,23
37, 4/21/2012, 2:25:20,4.15E+00,   0:03:32.788,3771,0.00E+00,   0:00:00.000,31
38, 4/21/2012, 2:25:25,3.98E+00,   0:03:37.832,3616,0.00E+00,   0:00:00.000,36
39, 4/21/2012, 2:30:09,8.93E+00,   0:03:45.680,8121,0.00E+00,   0:00:00.000,26
40, 4/21/2012, 2:30:14,7.80E+00,   0:03:50.698,7086,0.00E+00,   0:00:00.000,20
41, 4/21/2012, 2:30:19,6.92E+00,   0:03:55.740,6292,0.00E+00,   0:00:00.000,20
42, 4/21/2012, 2:30:24,6.46E+00,   0:04:00.785,5872,0.00E+00,   0:00:00.000,25
43, 4/21/2012, 2:30:29,6.69E+00,   0:04:05.825,6081,0.00E+00,   0:00:00.000,21
44, 4/21/2012, 2:30:34,4.28E+00,   0:04:10.879,3886,0.00E+00,   0:00:00.000,22
45, 4/21/2012, 2:30:39,5.33E+00,   0:04:15.919,4840,0.00E+00,   0:00:00.000,25
46, 4/21/2012, 2:30:44,5.80E+00,   0:04:20.958,5268,0.00E+00,   0:00:00.000,16
47, 4/21/2012, 2:30:49,5.85E+00,   0:04:25.996,5313,0.00E+00,   0:00:00.000,20
48, 4/21/2012, 2:30:54,5.85E+00,   0:04:31.057,5316,0.00E+00,   0:00:00.000,18
49, 4/21/2012, 2:30:59,1.02E+01,   0:04:36.101,9247,0.00E+00,   0:00:00.000,23
50, 4/21/2012, 2:31:04,1.00E+01,   0:04:41.146,9112,0.00E+00,   0:00:00.000,20
51, 4/21/2012, 2:31:09,1.00E+01,   0:04:46.185,9097,0.00E+00,   0:00:00.000,18
52, 4/21/2012, 2:31:14,1.00E+01,   0:04:51.226,9092,0.00E+00,   0:00:00.000,22
53, 4/21/2012, 2:31:19,1.00E+01,   0:04:56.275,9100,0.00E+00,   0:00:00.000,18
54, 4/21/2012, 2:31:25,1.00E+01,   0:05:01.316,9101,0.00E+00,   0:00:00.000,17
55, 4/21/2012, 2:31:30,1.00E+01,   0:05:06.355,9092,0.00E+00,   0:00:00.000,15
56, 4/21/2012, 2:31:35,9.99E+00,   0:05:11.395,9083,0.00E+00,   0:00:00.000,23
57, 4/21/2012, 2:31:40,1.00E+01,   0:05:16.434,9088,0.00E+00,   0:00:00.000,30
58, 4/21/2012, 2:31:45,1.00E+01,   0:05:21.492,9096,0.00E+00,   0:00:00.000,22
59, 4/21/2012, 2:39:05,1.17E+01,   0:05:30.903,10628,0.00E+00,   0:00:00.000,23
60, 4/21/2012, 2:39:10,1.17E+01,   0:05:35.924,10612,0.00E+00,   0:00:00.000,21
61, 4/21/2012, 2:39:15,1.17E+01,   0:05:40.968,10606,0.00E+00,   0:00:00.000,28
62, 4/21/2012, 2:39:20,1.17E+01,   0:05:46.009,10597,0.00E+00,   0:00:00.000,20
63, 4/21/2012, 2:39:25,1.17E+01,   0:05:51.055,10617,0.00E+00,   0:00:00.000,26
64, 4/21/2012, 2:39:30,1.17E+01,   0:05:56.094,10611,0.00E+00,   0:00:00.000,30
65, 4/21/2012, 2:39:35,1.17E+01,   0:06:01.137,10598,0.00E+00,   0:00:00.000,16
66, 4/21/2012, 2:39:40,1.17E+01,   0:06:06.154,10622,0.00E+00,   0:00:00.000,25
67, 4/21/2012, 2:39:45,1.17E+01,   0:06:11.181,10611,0.00E+00,   0:00:00.000,18
68, 4/21/2012, 2:39:51,1.17E+01,   0:06:16.219,10600,0.00E+00,   0:00:00.000,21
69, 4/21/2012, 2:39:56,1.17E+01,   0:06:21.258,10615,0.00E+00,   0:00:00.000,26
70, 4/21/2012, 2:40:01,1.17E+01,   0:06:26.297,10616,0.00E+00,   0:00:00.000,30
71, 4/21/2012, 2:40:06,1.17E+01,   0:06:31.336,10610,0.00E+00,   0:00:00.000,21
72, 4/21/2012, 2:40:11,1.17E+01,   0:06:36.389,10612,0.00E+00,   0:00:00.000,17
73, 4/21/2012, 2:41:11,1.11E+01,   0:06:45.215,10128,0.00E+00,   0:00:00.000,31
74, 4/21/2012, 3:10:16,3.97E+00,   0:06:53.119,3610,0.00E+00,   0:00:00.000,11
75, 4/21/2012, 3:14:47,3.87E+00,   0:07:07.310,3520,0.00E+00,   0:00:00.000,23
76, 4/21/2012, 3:14:58,3.38E+00,   0:07:16.950,3075,0.00E+00,   0:00:00.000,16
77, 4/21/2012, 3:17:55,1.14E+01,   0:07:26.649,10390,0.00E+00,   0:00:00.000,21
78, 4/21/2012, 3:18:00,1.14E+01,   0:07:31.668,10348,0.00E+00,   0:00:00.000,23
79, 4/21/2012, 3:18:05,1.14E+01,   0:07:36.710,10352,0.00E+00,   0:00:00.000,22
80, 4/21/2012, 3:18:10,1.14E+01,   0:07:41.750,10356,0.00E+00,   0:00:00.000,20
81, 4/21/2012, 4:04:14,4.11E+00,   0:07:51.125,3737,0.00E+00,   0:00:00.000,21
82, 4/21/2012, 4:15:05,9.11E+00,   0:07:57.810,8283,0.00E+00,   0:00:00.000,23
83, 4/21/2012, 4:15:21,7.91E+00,   0:08:04.710,7185,0.00E+00,   0:00:00.000,23
84, 4/21/2012, 4:15:26,7.86E+00,   0:08:09.748,7141,0.00E+00,   0:00:00.000,12
85, 4/21/2012, 4:15:31,7.86E+00,   0:08:14.787,7140,0.00E+00,   0:00:00.000,20
86, 4/21/2012, 4:15:36,7.65E+00,   0:08:19.833,6957,0.00E+00,   0:00:00.000,20
87, 4/21/2012, 4:15:41,7.75E+00,   0:08:24.873,7042,0.00E+00,   0:00:00.000,17
88, 4/21/2012, 4:15:46,3.38E+00,   0:08:29.916,3068,0.00E+00,   0:00:00.000,22
89, 4/21/2012, 4:15:52,3.37E+00,   0:08:34.963,3067,0.00E+00,   0:00:00.000,21
90, 4/21/2012, 4:15:57,3.37E+00,   0:08:40.002,3063,0.00E+00,   0:00:00.000,20
91, 4/21/2012, 4:16:02,3.37E+00,   0:08:45.049,3063,0.00E+00,   0:00:00.000,18
92, 4/21/2012, 4:16:07,3.35E+00,   0:08:50.087,3042,0.00E+00,   0:00:00.000,21
93, 4/21/2012, 4:16:12,3.35E+00,   0:08:55.128,3043,0.00E+00,   0:00:00.000,18
94, 4/21/2012, 4:16:17,3.48E+00,   0:09:00.169,3166,0.00E+00,   0:00:00.000,17
95, 4/21/2012, 4:21:47,1.09E+01,   0:09:08.363,9887,0.00E+00,   0:00:00.000,18
96, 4/21/2012, 4:21:52,1.08E+01,   0:09:13.395,9858,0.00E+00,   0:00:00.000,20
97, 4/21/2012, 4:21:57,1.09E+01,   0:09:18.435,9863,0.00E+00,   0:00:00.000,20
98, 4/21/2012, 4:22:02,6.02E+00,   0:09:23.473,5475,0.00E+00,   0:00:00.000,21
99, 4/21/2012, 4:23:15,9.69E+00,   0:09:29.151,8806,0.00E+00,   0:00:00.000,21
100, 4/21/2012, 4:23:20,9.66E+00,   0:09:34.181,8776,0.00E+00,   0:00:00.000,18
101, 4/21/2012, 4:23:25,9.65E+00,   0:09:39.222,8771,0.00E+00,   0:00:00.000,21
102, 4/21/2012, 4:23:30,9.63E+00,   0:09:44.264,8752,0.00E+00,   0:00:00.000,23
103, 4/21/2012, 4:23:35,9.62E+00,   0:09:49.317,8745,0.00E+00,   0:00:00.000,16
104, 4/21/2012, 4:23:40,9.62E+00,   0:09:54.357,8741,0.00E+00,   0:00:00.000,20
105, 4/21/2012, 4:23:45,9.61E+00,   0:09:59.405,8733,0.00E+00,   0:00:00.000,20
106, 4/21/2012, 4:23:50,9.60E+00,   0:10:04.445,8728,0.00E+00,   0:00:00.000,5
107, 4/21/2012, 4:23:55,9.61E+00,   0:10:09.484,8733,0.00E+00,   0:00:00.000,25
108, 4/21/2012, 4:24:00,9.53E+00,   0:10:14.525,8661,0.00E+00,   0:00:00.000,22
109, 4/21/2012, 4:24:06,9.59E+00,   0:10:19.563,8715,0.00E+00,   0:00:00.000,22
110, 4/21/2012, 4:29:55,5.92E+00,   0:10:28.457,5381,0.00E+00,   0:00:00.000,26
111, 4/21/2012, 4:30:00,5.19E+00,   0:10:33.478,4717,0.00E+00,   0:00:00.000,10
112, 4/21/2012, 4:30:05,5.09E+00,   0:10:38.517,4626,0.00E+00,   0:00:00.000,21
113, 4/21/2012, 4:30:10,5.40E+00,   0:10:43.556,4907,0.00E+00,   0:00:00.000,12
114, 4/21/2012, 4:30:15,5.25E+00,   0:10:48.593,4770,0.00E+00,   0:00:00.000,22
115, 4/21/2012, 4:30:20,8.42E+00,   0:10:53.635,7655,0.00E+00,   0:00:00.000,27
116, 4/21/2012, 4:30:25,8.38E+00,   0:10:58.674,7618,0.00E+00,   0:00:00.000,26
117, 4/21/2012, 4:30:42,8.87E+00,   0:11:11.457,8063,0.00E+00,   0:00:00.000,26
118, 4/21/2012, 4:30:47,7.24E+00,   0:11:16.526,6580,0.00E+00,   0:00:00.000,25
119, 4/21/2012, 4:30:52,7.22E+00,   0:11:21.574,6565,0.00E+00,   0:00:00.000,21
120, 4/21/2012, 4:30:57,7.22E+00,   0:11:26.615,6561,0.00E+00,   0:00:00.000,23
121, 4/21/2012, 4:31:02,7.23E+00,   0:11:31.654,6566,0.00E+00,   0:00:00.000,23
122, 4/21/2012, 4:31:07,7.22E+00,   0:11:36.694,6562,0.00E+00,   0:00:00.000,22
123, 4/21/2012, 4:31:12,7.21E+00,   0:11:41.735,6555,0.00E+00,   0:00:00.000,22
124, 4/21/2012, 4:31:17,7.21E+00,   0:11:46.784,6551,0.00E+00,   0:00:00.000,23
125, 4/21/2012, 4:31:22,7.21E+00,   0:11:51.830,6555,0.00E+00,   0:00:00.000,20
126, 4/21/2012, 4:31:27,7.21E+00,   0:11:56.872,6552,0.00E+00,   0:00:00.000,13
127, 4/21/2012, 4:31:32,7.20E+00,   0:12:01.911,6547,0.00E+00,   0:00:00.000,20
128, 4/21/2012, 4:31:37,7.20E+00,   0:12:06.952,6548,0.00E+00,   0:00:00.000,21
129, 4/21/2012, 4:31:42,7.20E+00,   0:12:12.005,6542,0.00E+00,   0:00:00.000,21
130, 4/21/2012, 4:31:47,7.20E+00,   0:12:17.051,6540,0.00E+00,   0:00:00.000,22
131, 4/21/2012, 4:31:52,7.19E+00,   0:12:22.092,6532,0.00E+00,   0:00:00.000,18
132, 4/21/2012, 4:31:57,7.20E+00,   0:12:27.132,6540,0.00E+00,   0:00:00.000,16
133, 4/21/2012, 4:32:02,7.18E+00,   0:12:32.174,6530,0.00E+00,   0:00:00.000,11
134, 4/21/2012, 4:32:07,7.19E+00,   0:12:37.227,6537,0.00E+00,   0:00:00.000,21
135, 4/21/2012, 4:32:12,7.19E+00,   0:12:42.263,6537,0.00E+00,   0:00:00.000,15
136, 4/21/2012, 4:32:18,7.17E+00,   0:12:47.303,6521,0.00E+00,   0:00:00.000,18
137, 4/21/2012, 4:32:23,7.18E+00,   0:12:52.343,6528,0.00E+00,   0:00:00.000,20
138, 4/21/2012, 4:32:28,7.20E+00,   0:12:57.393,6545,0.00E+00,   0:00:00.000,46
139, 4/21/2012, 4:32:33,7.20E+00,   0:13:02.456,6542,0.00E+00,   0:00:00.000,22
140, 4/21/2012, 4:32:38,7.19E+00,   0:13:07.498,6531,0.00E+00,   0:00:00.000,28
141, 4/21/2012, 4:32:43,7.18E+00,   0:13:12.541,6527,0.00E+00,   0:00:00.000,23
142, 4/21/2012, 4:32:48,7.19E+00,   0:13:17.582,6535,0.00E+00,   0:00:00.000,22
143, 4/21/2012, 4:32:53,7.33E+00,   0:13:22.657,6661,0.00E+00,   0:00:00.000,21
144, 4/21/2012, 4:32:58,7.15E+00,   0:13:27.695,6497,0.00E+00,   0:00:00.000,25
145, 4/21/2012, 4:33:03,7.13E+00,   0:13:32.736,6477,0.00E+00,   0:00:00.000,17
146, 4/21/2012, 4:33:08,7.13E+00,   0:13:37.775,6481,0.00E+00,   0:00:00.000,23
147, 4/21/2012, 4:33:13,7.14E+00,   0:13:42.811,6490,0.00E+00,   0:00:00.000,21
148, 4/21/2012, 4:33:18,7.11E+00,   0:13:47.859,6465,0.00E+00,   0:00:00.000,23
149, 4/21/2012, 4:33:45,1.02E+01,   0:13:56.148,9296,0.00E+00,   0:00:00.000,25
150, 4/21/2012, 4:33:50,1.02E+01,   0:14:01.169,9240,0.00E+00,   0:00:00.000,23
151, 4/21/2012, 4:33:55,1.02E+01,   0:14:06.206,9238,0.00E+00,   0:00:00.000,27
152, 4/21/2012, 4:34:00,1.01E+01,   0:14:11.246,9207,0.00E+00,   0:00:00.000,17
153, 4/21/2012, 4:34:05,1.02E+01,   0:14:16.295,9265,0.00E+00,   0:00:00.000,27
154, 4/21/2012, 4:34:10,1.01E+01,   0:14:21.335,9187,0.00E+00,   0:00:00.000,20
155, 4/21/2012, 4:34:15,1.01E+01,   0:14:26.374,9185,0.00E+00,   0:00:00.000,36
156, 4/21/2012, 4:43:39,1.07E+01,   0:14:36.297,9708,0.00E+00,   0:00:00.000,26
157, 4/21/2012, 4:43:44,1.08E+01,   0:14:41.328,9795,0.00E+00,   0:00:00.000,21
158, 4/21/2012, 4:43:49,1.08E+01,   0:14:46.344,9801,0.00E+00,   0:00:00.000,21
159, 4/21/2012, 4:43:54,1.08E+01,   0:14:51.383,9818,0.00E+00,   0:00:00.000,17
160, 4/21/2012, 4:43:59,1.08E+01,   0:14:56.419,9807,0.00E+00,   0:00:00.000,21
161, 4/21/2012, 4:44:04,1.08E+01,   0:15:01.458,9815,0.00E+00,   0:00:00.000,21
162, 4/21/2012, 4:44:09,1.08E+01,   0:15:06.510,9796,0.00E+00,   0:00:00.000,20
163, 4/21/2012, 4:44:14,1.08E+01,   0:15:11.556,9790,0.00E+00,   0:00:00.000,21
164, 4/21/2012, 4:44:19,1.08E+01,   0:15:16.600,9798,0.00E+00,   0:00:00.000,27
165, 4/21/2012, 4:44:24,1.08E+01,   0:15:21.640,9802,0.00E+00,   0:00:00.000,17
166, 4/21/2012, 4:44:29,1.08E+01,   0:15:26.680,9792,0.00E+00,   0:00:00.000,22
167, 4/21/2012, 4:44:34,1.08E+01,   0:15:31.731,9792,0.00E+00,   0:00:00.000,25
168, 4/21/2012, 4:44:39,1.08E+01,   0:15:36.771,9808,0.00E+00,   0:00:00.000,22
169, 4/21/2012, 4:44:44,1.08E+01,   0:15:41.815,9815,0.00E+00,   0:00:00.000,22
170, 4/21/2012, 5:13:22,3.96E+00,   0:15:54.597,3600,0.00E+00,   0:00:00.000,30
171, 4/21/2012, 5:13:27,4.11E+00,   0:15:59.636,3740,0.00E+00,   0:00:00.000,20
172, 4/21/2012, 5:13:32,4.04E+00,   0:16:04.679,3670,0.00E+00,   0:00:00.000,18
173, 4/21/2012, 5:13:37,3.25E+00,   0:16:09.723,2955,0.00E+00,   0:00:00.000,6
174, 4/21/2012, 5:13:42,3.98E+00,   0:16:14.764,3615,0.00E+00,   0:00:00.000,20
175, 4/21/2012, 5:13:47,3.81E+00,   0:16:19.803,3462,0.00E+00,   0:00:00.000,23
176, 4/21/2012, 5:13:52,3.78E+00,   0:16:24.850,3433,0.00E+00,   0:00:00.000,21
177, 4/21/2012, 5:13:57,3.62E+00,   0:16:29.897,3287,0.00E+00,   0:00:00.000,21
178, 4/21/2012, 5:14:27,1.14E+01,   0:16:36.714,10375,0.00E+00,   0:00:00.000,20
179, 4/21/2012, 5:14:32,1.15E+01,   0:16:41.765,10448,0.00E+00,   0:00:00.000,20
180, 4/21/2012, 5:15:40,1.10E+01,   0:16:48.885,10018,0.00E+00,   0:00:00.000,21
181, 4/21/2012, 5:15:45,1.10E+01,   0:16:53.911,9971,0.00E+00,   0:00:00.000,17
182, 4/21/2012, 5:15:50,9.94E-01,   0:16:58.959,877,0.00E+00,   0:00:00.000,21
183, 4/21/2012, 5:34:32,1.14E+01,   0:17:04.751,10322,0.00E+00,   0:00:00.000,15
184, 4/21/2012, 5:36:07,1.13E+01,   0:17:14.550,10300,0.00E+00,   0:00:00.000,16
185, 4/21/2012, 5:36:12,1.13E+01,   0:17:19.570,10292,0.00E+00,   0:00:00.000,23
186, 4/21/2012, 5:36:17,1.13E+01,   0:17:24.628,10281,0.00E+00,   0:00:00.000,22
187, 4/21/2012, 5:36:22,1.13E+01,   0:17:29.670,10265,0.00E+00,   0:00:00.000,21
188, 4/21/2012, 5:36:27,1.13E+01,   0:17:34.711,10272,0.00E+00,   0:00:00.000,16
189, 4/21/2012, 5:36:32,1.13E+01,   0:17:39.750,10270,0.00E+00,   0:00:00.000,22
190, 4/21/2012, 5:36:37,1.13E+01,   0:17:44.794,10270,0.00E+00,   0:00:00.000,25
191, 4/21/2012, 5:37:55,1.08E+01,   0:17:53.104,9796,0.00E+00,   0:00:00.000,25
192, 4/21/2012, 5:38:00,1.08E+01,   0:17:58.143,9771,0.00E+00,   0:00:00.000,17
193, 4/21/2012, 5:38:05,1.07E+01,   0:18:03.182,9770,0.00E+00,   0:00:00.000,20
194, 4/21/2012, 5:38:10,1.07E+01,   0:18:08.230,9766,0.00E+00,   0:00:00.000,23
195, 4/21/2012, 5:38:15,1.05E+01,   0:18:13.280,9581,0.00E+00,   0:00:00.000,27
196, 4/21/2012, 5:38:20,1.06E+01,   0:18:18.320,9593,0.00E+00,   0:00:00.000,17
197, 4/21/2012, 5:38:25,1.05E+01,   0:18:23.383,9587,0.00E+00,   0:00:00.000,25
198, 4/21/2012, 5:38:30,1.06E+01,   0:18:28.422,9595,0.00E+00,   0:00:00.000,23
199, 4/21/2012, 5:38:35,1.07E+01,   0:18:33.464,9727,0.00E+00,   0:00:00.000,22
200, 4/21/2012, 5:38:40,1.07E+01,   0:18:38.512,9726,0.00E+00,   0:00:00.000,26
201, 4/21/2012, 5:38:45,1.07E+01,   0:18:43.556,9718,0.00E+00,   0:00:00.000,37
202, 4/21/2012, 5:38:50,1.07E+01,   0:18:48.603,9731,0.00E+00,   0:00:00.000,23
203, 4/21/2012, 5:38:55,1.07E+01,   0:18:53.646,9726,0.00E+00,   0:00:00.000,20
204, 4/21/2012, 5:39:00,1.07E+01,   0:18:58.684,9736,0.00E+00,   0:00:00.000,20
205, 4/21/2012, 5:54:50,4.26E+00,   0:19:07.110,3870,0.00E+00,   0:00:00.000,21
206, 4/21/2012, 5:55:00,3.78E+00,   0:19:16.578,3440,0.00E+00,   0:00:00.000,25
207, 4/21/2012, 5:55:05,4.11E+00,   0:19:21.616,3733,0.00E+00,   0:00:00.000,26
208, 4/21/2012, 5:55:11,4.14E+00,   0:19:26.655,3761,0.00E+00,   0:00:00.000,21
209, 4/21/2012, 5:55:16,4.09E+00,   0:19:31.705,3713,0.00E+00,   0:00:00.000,22
210, 4/21/2012, 5:55:21,3.31E+00,   0:19:36.744,3007,0.00E+00,   0:00:00.000,21
211, 4/21/2012, 5:58:26,1.08E+01,   0:19:42.229,9805,0.00E+00,   0:00:00.000,21
212, 4/21/2012, 5:58:31,1.08E+01,   0:19:47.249,9777,0.00E+00,   0:00:00.000,22
213, 4/21/2012, 5:58:36,1.07E+01,   0:19:52.290,9758,0.00E+00,   0:00:00.000,25
214, 4/21/2012, 5:58:41,1.07E+01,   0:19:57.346,9765,0.00E+00,   0:00:00.000,18
215, 4/21/2012, 5:58:46,1.08E+01,   0:20:02.384,9772,0.00E+00,   0:00:00.000,23
216, 4/21/2012, 5:58:51,1.07E+01,   0:20:07.425,9756,0.00E+00,   0:00:00.000,26
217, 4/21/2012, 6:03:18,1.07E+01,   0:20:15.026,9686,0.00E+00,   0:00:00.000,17
218, 4/21/2012, 6:03:23,1.06E+01,   0:20:20.047,9678,0.00E+00,   0:00:00.000,22
219, 4/21/2012, 6:03:28,1.07E+01,   0:20:25.129,9680,0.00E+00,   0:00:00.000,27
220, 4/21/2012, 6:03:33,1.06E+01,   0:20:30.170,9656,0.00E+00,   0:00:00.000,26
221, 4/21/2012, 6:03:38,1.06E+01,   0:20:35.206,9675,0.00E+00,   0:00:00.000,16
222, 4/21/2012, 6:03:43,2.19E+00,   0:20:40.259,1990,0.00E+00,   0:00:00.000,17
223, 4/21/2012, 6:03:48,2.01E+00,   0:20:45.298,1831,0.00E+00,   0:00:00.000,18
224, 4/21/2012, 6:03:53,1.97E+00,   0:20:50.351,1788,0.00E+00,   0:00:00.000,22
225, 4/21/2012, 6:03:58,1.95E+00,   0:20:55.390,1775,0.00E+00,   0:00:00.000,21
226, 4/21/2012, 6:04:03,2.00E+00,   0:21:00.430,1813,0.00E+00,   0:00:00.000,15
227, 4/21/2012, 6:04:08,2.02E+00,   0:21:05.467,1840,0.00E+00,   0:00:00.000,21
228, 4/21/2012, 6:04:13,1.87E+00,   0:21:10.518,1697,0.00E+00,   0:00:00.000,18
229, 4/21/2012, 6:04:18,1.92E+00,   0:21:15.578,1741,0.00E+00,   0:00:00.000,26
230, 4/21/2012, 6:04:24,1.93E+00,   0:21:20.624,1755,0.00E+00,   0:00:00.000,21
231, 4/21/2012, 6:04:29,1.92E+00,   0:21:25.664,1748,0.00E+00,   0:00:00.000,20
232, 4/21/2012, 6:04:34,1.90E+00,   0:21:30.704,1728,0.00E+00,   0:00:00.000,18
233, 4/21/2012, 6:04:39,1.93E+00,   0:21:35.754,1753,0.00E+00,   0:00:00.000,30
234, 4/21/2012, 6:04:44,1.90E+00,   0:21:40.797,1726,0.00E+00,   0:00:00.000,21
