Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1, 5/02/2012, 2:53:37,1.46E+00,   0:00:56.104,1328,0.00E+00,   0:00:00.000,21
2, 5/02/2012, 2:53:43,4.10E+00,   0:01:01.281,3722,0.00E+00,   0:00:00.000,25
3, 5/02/2012, 2:53:48,4.03E+00,   0:01:06.320,3666,0.00E+00,   0:00:00.000,20
4, 5/02/2012, 2:53:53,4.23E+00,   0:01:11.359,3847,0.00E+00,   0:00:00.000,21
5, 5/02/2012, 2:57:26,1.10E+01,   0:01:20.845,9993,0.00E+00,   0:00:00.000,26
6, 5/02/2012, 2:57:31,1.11E+01,   0:01:25.901,10071,0.00E+00,   0:00:00.000,25
7, 5/02/2012, 2:57:36,1.11E+01,   0:01:30.944,10046,0.00E+00,   0:00:00.000,22
8, 5/02/2012, 2:57:41,1.11E+01,   0:01:35.982,10072,0.00E+00,   0:00:00.000,17
9, 5/02/2012, 3:03:03,1.10E+01,   0:01:44.913,9962,0.00E+00,   0:00:00.000,22
10, 5/02/2012, 3:03:08,1.11E+01,   0:01:49.940,10075,0.00E+00,   0:00:00.000,25
11, 5/02/2012, 3:03:13,2.33E+00,   0:01:54.980,2118,0.00E+00,   0:00:00.000,23
12, 5/02/2012, 3:15:01,1.05E+01,   0:02:00.247,9541,0.00E+00,   0:00:00.000,21
13, 5/02/2012, 3:15:06,1.06E+01,   0:02:05.284,9622,0.00E+00,   0:00:00.000,22
14, 5/02/2012, 3:15:11,1.06E+01,   0:02:10.326,9618,0.00E+00,   0:00:00.000,22
15, 5/02/2012, 3:15:16,1.06E+01,   0:02:15.374,9620,0.00E+00,   0:00:00.000,17
16, 5/02/2012, 3:15:21,1.06E+01,   0:02:20.413,9617,0.00E+00,   0:00:00.000,26
17, 5/02/2012, 3:15:26,1.06E+01,   0:02:25.453,9626,0.00E+00,   0:00:00.000,23
18, 5/02/2012, 3:15:31,5.22E+00,   0:02:30.519,4661,0.00E+00,   0:00:00.000,21
19, 5/02/2012, 3:21:40,1.11E+01,   0:02:35.972,10080,0.00E+00,   0:00:00.000,20
20, 5/02/2012, 3:21:45,1.11E+01,   0:02:41.003,10112,0.00E+00,   0:00:00.000,22
21, 5/02/2012, 3:21:50,1.11E+01,   0:02:46.043,10082,0.00E+00,   0:00:00.000,13
22, 5/02/2012, 3:21:56,1.12E+01,   0:02:51.082,10135,0.00E+00,   0:00:00.000,22
23, 5/02/2012, 3:22:01,1.13E+01,   0:02:56.120,10246,0.00E+00,   0:00:00.000,21
24, 5/02/2012, 3:22:06,1.13E+01,   0:03:01.160,10246,0.00E+00,   0:00:00.000,25
25, 5/02/2012, 3:22:11,1.13E+01,   0:03:06.206,10241,0.00E+00,   0:00:00.000,21
26, 5/02/2012, 3:22:16,1.12E+01,   0:03:11.256,10222,0.00E+00,   0:00:00.000,23
27, 5/02/2012, 3:22:21,1.13E+01,   0:03:16.297,10238,0.00E+00,   0:00:00.000,16
28, 5/02/2012, 3:22:26,1.13E+01,   0:03:21.337,10242,0.00E+00,   0:00:00.000,21
29, 5/02/2012, 3:22:31,1.13E+01,   0:03:26.390,10235,0.00E+00,   0:00:00.000,17
30, 5/02/2012, 3:22:36,1.13E+01,   0:03:31.425,10248,0.00E+00,   0:00:00.000,22
31, 5/02/2012, 3:22:41,1.13E+01,   0:03:36.464,10252,0.00E+00,   0:00:00.000,21
32, 5/02/2012, 4:12:16,1.05E+01,   0:03:43.749,9515,0.00E+00,   0:00:00.000,15
33, 5/02/2012, 4:12:21,1.05E+01,   0:03:48.786,9552,0.00E+00,   0:00:00.000,11
34, 5/02/2012, 4:12:26,1.05E+01,   0:03:53.832,9582,0.00E+00,   0:00:00.000,13
35, 5/02/2012, 4:12:31,1.08E+01,   0:03:58.873,9840,0.00E+00,   0:00:00.000,26
36, 5/02/2012, 4:12:53,8.89E+00,   0:04:08.912,8082,0.00E+00,   0:00:00.000,23
37, 5/02/2012, 4:12:58,8.96E+00,   0:04:13.953,8148,0.00E+00,   0:00:00.000,18
38, 5/02/2012, 4:13:03,8.96E+00,   0:04:19.023,8141,0.00E+00,   0:00:00.000,23
39, 5/02/2012, 4:13:08,8.96E+00,   0:04:24.075,8143,0.00E+00,   0:00:00.000,25
40, 5/02/2012, 4:13:13,8.94E+00,   0:04:29.120,8127,0.00E+00,   0:00:00.000,17
41, 5/02/2012, 4:14:00,1.07E+01,   0:04:36.341,9762,0.00E+00,   0:00:00.000,21
42, 5/02/2012, 4:14:05,1.08E+01,   0:04:41.380,9845,0.00E+00,   0:00:00.000,23
43, 5/02/2012, 4:14:10,1.08E+01,   0:04:46.418,9852,0.00E+00,   0:00:00.000,22
44, 5/02/2012, 4:14:15,1.08E+01,   0:04:51.474,9828,0.00E+00,   0:00:00.000,18
45, 5/02/2012, 4:14:20,1.09E+01,   0:04:56.516,9863,0.00E+00,   0:00:00.000,22
46, 5/02/2012, 4:14:25,1.08E+01,   0:05:01.558,9848,0.00E+00,   0:00:00.000,25
47, 5/02/2012, 4:14:30,1.08E+01,   0:05:06.594,9862,0.00E+00,   0:00:00.000,22
48, 5/02/2012, 4:14:35,1.08E+01,   0:05:11.645,9856,0.00E+00,   0:00:00.000,22
49, 5/02/2012, 4:14:40,1.08E+01,   0:05:16.684,9836,0.00E+00,   0:00:00.000,25
50, 5/02/2012, 4:16:25,1.04E+01,   0:05:23.512,9480,0.00E+00,   0:00:00.000,12
51, 5/02/2012, 4:16:30,1.05E+01,   0:05:28.551,9530,0.00E+00,   0:00:00.000,25
52, 5/02/2012, 4:16:35,1.09E+01,   0:05:33.592,9892,0.00E+00,   0:00:00.000,26
53, 5/02/2012, 4:16:40,1.09E+01,   0:05:38.648,9888,0.00E+00,   0:00:00.000,20
54, 5/02/2012, 4:16:45,1.09E+01,   0:05:43.691,9888,0.00E+00,   0:00:00.000,13
55, 5/02/2012, 4:16:50,1.08E+01,   0:05:48.730,9817,0.00E+00,   0:00:00.000,20
56, 5/02/2012, 4:16:55,1.07E+01,   0:05:53.751,9752,0.00E+00,   0:00:00.000,20
