Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG
1,7/12/2012,2:19:12,1.12E+01,0:00:05,10196,0.00E+00,0:00:01,23
2,7/12/2012,2:19:17,1.12E+01,0:00:10,10192,0.00E+00,0:00:01,22
3,7/12/2012,2:19:22,1.12E+01,0:00:15,10191,0.00E+00,0:00:01,22
4,7/12/2012,2:19:27,1.12E+01,0:00:20,10206,0.00E+00,0:00:01,23
5,7/12/2012,2:33:08,1.04E+01,0:00:27,9497,0.00E+00,0:00:03,22
6,7/12/2012,2:33:13,1.04E+01,0:00:32,9410,0.00E+00,0:00:03,18
7,7/12/2012,2:33:18,1.03E+01,0:00:37,9371,0.00E+00,0:00:03,22
8,7/12/2012,2:33:23,1.03E+01,0:00:42,9377,0.00E+00,0:00:03,21
9,7/12/2012,2:33:28,1.03E+01,0:00:47,9361,0.00E+00,0:00:03,28
10,7/12/2012,2:33:33,1.03E+01,0:00:52,9356,0.00E+00,0:00:03,23
11,7/12/2012,2:33:38,1.03E+01,0:00:57,9375,0.00E+00,0:00:03,23
12,7/12/2012,2:33:43,8.01E+00,0:01:02,7245,6.95E-01,0:00:03,648
13,7/12/2012,3:00:16,4.02E+00,0:01:08,3657,0.00E+00,0:00:07,22
14,7/12/2012,3:00:21,1.66E+00,0:01:13,1488,0.00E+00,0:00:07,306
15,7/12/2012,3:00:50,3.92E+00,0:01:18,3562,0.00E+00,0:00:07,21
16,7/12/2012,3:00:55,3.80E+00,0:01:23,3452,0.00E+00,0:00:07,21
17,7/12/2012,3:08:08,1.07E+01,0:01:36,9742,0.00E+00,0:00:08,25
18,7/12/2012,3:08:13,1.07E+01,0:01:41,9733,0.00E+00,0:00:08,21
19,7/12/2012,3:08:18,1.07E+01,0:01:46,9717,0.00E+00,0:00:08,26
20,7/12/2012,3:08:23,7.62E+00,0:01:51,6923,8.64E-01,0:00:08,801
21,7/12/2012,3:12:04,1.07E+01,0:01:57,9702,0.00E+00,0:00:10,26
22,7/12/2012,3:12:09,1.07E+01,0:02:02,9705,0.00E+00,0:00:10,20
23,7/12/2012,3:12:14,1.07E+01,0:02:07,9698,0.00E+00,0:00:10,28
24,7/12/2012,3:12:19,1.07E+01,0:02:12,9692,0.00E+00,0:00:10,23
25,7/12/2012,3:13:31,1.13E+01,0:02:18,10246,0.00E+00,0:00:12,35
26,7/12/2012,3:13:36,1.13E+01,0:02:23,10242,0.00E+00,0:00:12,26
27,7/12/2012,3:13:41,1.13E+01,0:02:28,10275,0.00E+00,0:00:12,20
28,7/12/2012,3:13:46,1.13E+01,0:02:33,10273,0.00E+00,0:00:12,25
29,7/12/2012,3:13:51,8.82E+00,0:02:39,7911,8.48E-01,0:00:13,785
30,7/12/2012,3:25:42,1.11E+01,0:02:44,10121,0.00E+00,0:00:19,26
31,7/12/2012,3:25:47,1.12E+01,0:02:49,10161,0.00E+00,0:00:19,18
32,7/12/2012,3:25:52,1.12E+01,0:02:54,10138,0.00E+00,0:00:19,23
33,7/12/2012,3:25:57,1.12E+01,0:02:59,10175,0.00E+00,0:00:19,18
34,7/12/2012,3:33:17,1.06E+01,0:03:07,9655,0.00E+00,0:00:22,20
35,7/12/2012,3:33:22,1.06E+01,0:03:12,9668,0.00E+00,0:00:22,23
