duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:01:43,2.428,0.26999999999999996,2.698,-23.0,0.04142011834319531,0.0,0.18666666666666665,1.0,103.0,3.733333333333333,1.0,1.0,1.035333333333333
0 days 00:02:13,4.3180000000000005,0.6600000000000001,4.978000000000001,8.0,11.361581920903951,0.0,0.17333333333333334,2.0,133.0,6.692500000000001,1.0,2.0,1.7145000000000001
0 days 00:05:39,0.15000000000000124,0.20999999999999996,0.3600000000000012,34.0,0.4000000000000444,0.0,0.06699999999999999,3.0,339.0,1.1166666666666665,0.0,1.0,0.7566666666666653
0 days 00:01:31,1.1849999999999996,0.1399999999999999,1.3249999999999995,-4.0,6.685393258426966,0.0,0.17833333333333332,4.0,91.0,3.3099999999999996,1.0,1.0,1.985
0 days 00:03:34,6.188000000000001,0.9499999999999997,7.138,-18.0,0.0454545454545505,0.0,0.17833333333333332,5.0,214.0,8.068333333333333,3.0,3.0,0.9303333333333335
0 days 00:02:08,2.1899999999999995,0.27,2.4599999999999995,2.0,4.827067669172941,0.0,0.185,6.0,128.0,3.7249999999999996,2.0,1.0,1.2650000000000001
0 days 00:02:09,1.1599999999999966,0.04999999999999982,1.2099999999999964,-2.0,26.653846153846413,0.0,0.17666666666666667,7.0,129.0,6.183333333333334,1.0,1.0,4.973333333333337
0 days 00:10:08,18.29,2.12,20.41,-30.0,0.0846153846154061,129.0,0.18000000000000002,8.0,608.0,27.840833333333336,8.0,9.0,7.430833333333336
0 days 00:02:26,3.6000000000000014,0.39000000000000057,3.990000000000002,8.0,39.73333333333254,0.0,0.18000000000000002,9.0,146.0,7.200000000000001,1.0,2.0,3.209999999999999
0 days 00:02:00,1.0,0.21899999999999942,1.2189999999999994,3.0,3.886792452830251,0.0,0.03783333333333334,10.0,120.0,0.18916666666666668,1.0,1.0,-1.0298333333333327
0 days 00:00:49,0.10099999999999199,0.11000000000000032,0.2109999999999923,7.0,0.6896551724137395,43.0,0.18000000000000002,11.0,49.0,1.8000000000000003,0.0,1.0,1.589000000000008
0 days 00:03:02,8.787000000000006,0.660000000000001,9.447000000000006,4.0,0.07086614173234221,0.0,0.18000000000000002,12.0,182.0,8.945,2.0,3.0,-0.502000000000006
0 days 00:01:41,4.768000000000001,0.3689999999999998,5.1370000000000005,3.0,58.099999999999866,0.0,0.16833333333333333,13.0,101.0,4.279166666666667,1.0,2.0,-0.8578333333333337
0 days 00:01:10,0.5159999999999982,0.2320000000000002,0.7479999999999984,-7.0,1.925000000000031,,0.0,14.0,70.0,0.0,1.0,1.0,-0.7479999999999984
0 days 00:02:22,2.3399999999999963,0.39000000000000057,2.729999999999997,0.0,0.4910179640718986,8.0,0.18333333333333332,15.0,142.0,5.499999999999999,1.0,1.0,2.7700000000000022
0 days 00:01:59,0.8800000000000097,0.3200000000000003,1.20000000000001,7.0,0.12162162162153047,19.0,0.15350000000000003,16.0,119.0,0.7675000000000001,1.0,2.0,-0.4325000000000099
0 days 00:01:18,0.5110000000000028,0.21000000000000085,0.7210000000000036,7.0,0.08108108108101966,,0.0,17.0,78.0,0.0,1.0,1.0,-0.7210000000000036
0 days 00:02:32,5.490000000000002,0.6199999999999992,6.110000000000001,17.0,7.414847161572111,0.0,0.185,18.0,152.0,7.4,2.0,2.0,1.2899999999999991
0 days 00:02:59,7.409999999999997,0.34999999999999964,7.759999999999996,-19.0,28.11864406779621,0.0,0.175,19.0,179.0,7.8565,2.0,2.0,0.09650000000000336
0 days 00:02:18,1.5400000000000205,0.1700000000000017,1.7100000000000222,-33.0,0.14705882352969682,0.0,0.154,20.0,138.0,3.536666666666666,1.0,1.0,1.826666666666644
0 days 00:06:26,15.370000000000005,2.0999999999999996,17.470000000000006,-2.0,7.950450450450472,0.0,0.15366666666666667,21.0,386.0,16.825,5.0,4.0,-0.6450000000000067
0 days 00:01:31,4.38000000000001,0.5399999999999991,4.920000000000009,8.0,0.14814814814819932,0.0,0.15533333333333335,22.0,91.0,4.909166666666667,1.0,2.0,-0.010833333333342132
