date,time,weight
03.03.2021,10:56:39,0.41
03.03.2021,10:56:41,0.42
03.03.2021,10:56:42,0.42
03.03.2021,10:56:43,0.42
03.03.2021,10:56:44,0.42
03.03.2021,10:56:45,0.42
03.03.2021,10:56:46,0.42
03.03.2021,10:56:47,0.42
03.03.2021,10:56:48,0.42
03.03.2021,10:56:49,0.42
03.03.2021,10:56:50,0.42
03.03.2021,10:56:51,0.42
03.03.2021,10:56:52,0.42
03.03.2021,10:56:53,0.42
03.03.2021,10:56:54,0.42
03.03.2021,10:56:55,0.42
03.03.2021,10:56:56,0.42
03.03.2021,10:56:57,0.42
03.03.2021,10:56:58,0.42
03.03.2021,10:56:59,0.42
03.03.2021,10:57:00,0.42
03.03.2021,10:57:01,0.42
03.03.2021,10:57:02,0.42
03.03.2021,10:57:03,0.42
03.03.2021,10:57:04,0.42
03.03.2021,10:57:05,0.42
03.03.2021,10:57:06,0.42
03.03.2021,10:57:07,0.42
03.03.2021,10:57:08,0.42
03.03.2021,10:57:09,0.43
03.03.2021,10:57:10,0.43
03.03.2021,10:57:11,0.43
03.03.2021,10:57:13,0.43
03.03.2021,10:57:14,0.43
03.03.2021,10:57:15,0.43
03.03.2021,10:57:16,0.43
03.03.2021,10:57:17,0.43
03.03.2021,10:57:18,0.43
03.03.2021,10:57:19,0.43
03.03.2021,10:57:20,0.43
03.03.2021,10:57:21,0.43
03.03.2021,10:57:22,0.43
03.03.2021,10:57:23,0.43
03.03.2021,10:57:24,0.43
03.03.2021,10:57:25,0.43
03.03.2021,10:57:26,0.43
03.03.2021,10:57:27,0.43
03.03.2021,10:57:28,0.43
03.03.2021,10:57:29,0.43
03.03.2021,10:57:30,0.43
03.03.2021,10:57:31,0.43
03.03.2021,10:57:32,0.43
03.03.2021,10:57:33,0.43
03.03.2021,10:57:34,0.43
03.03.2021,10:57:35,0.43
03.03.2021,10:57:36,0.43
03.03.2021,10:57:37,0.43
03.03.2021,10:57:38,0.43
03.03.2021,10:57:39,0.43
03.03.2021,10:57:40,0.43
03.03.2021,10:57:41,0.44
03.03.2021,10:57:42,0.44
03.03.2021,10:57:43,0.44
03.03.2021,10:57:44,0.44
03.03.2021,10:57:46,0.44
03.03.2021,10:57:47,0.44
03.03.2021,10:57:48,0.44
03.03.2021,10:57:49,0.44
03.03.2021,10:57:50,0.44
03.03.2021,10:57:51,0.44
03.03.2021,10:57:52,0.44
03.03.2021,10:57:53,0.44
03.03.2021,10:57:54,0.44
03.03.2021,10:57:55,0.44
03.03.2021,10:57:56,0.44
03.03.2021,10:57:57,0.44
03.03.2021,10:57:58,0.44
03.03.2021,10:57:59,0.44
03.03.2021,10:58:00,0.44
03.03.2021,10:58:01,0.44
03.03.2021,10:58:02,0.44
03.03.2021,10:58:03,0.44
03.03.2021,10:58:04,0.44
03.03.2021,10:58:05,0.44
03.03.2021,10:58:06,0.44
03.03.2021,10:58:07,0.44
03.03.2021,10:58:08,0.44
03.03.2021,10:58:09,0.44
03.03.2021,10:58:10,0.44
03.03.2021,10:58:11,0.44
03.03.2021,10:58:12,0.44
03.03.2021,10:58:13,0.44
03.03.2021,10:58:14,0.44
03.03.2021,10:58:15,0.44
03.03.2021,10:58:16,0.44
03.03.2021,10:58:18,0.44
03.03.2021,10:58:19,0.44
03.03.2021,10:58:20,0.44
03.03.2021,10:58:21,0.44
03.03.2021,10:58:22,0.44
03.03.2021,10:58:23,0.44
03.03.2021,10:58:24,0.44
03.03.2021,10:58:25,0.44
03.03.2021,10:58:26,0.44
03.03.2021,10:58:27,0.44
03.03.2021,10:58:28,0.44
03.03.2021,10:58:29,0.44
03.03.2021,10:58:30,0.44
03.03.2021,10:58:31,0.44
03.03.2021,10:58:32,0.44
03.03.2021,10:58:33,0.44
03.03.2021,10:58:34,0.44
03.03.2021,10:58:35,0.44
03.03.2021,10:58:36,0.44
03.03.2021,10:58:37,0.45
03.03.2021,10:58:38,0.45
03.03.2021,10:58:39,0.45
03.03.2021,10:58:40,0.45
03.03.2021,10:58:41,0.45
03.03.2021,10:58:42,0.45
03.03.2021,10:58:43,0.45
03.03.2021,10:58:44,0.45
03.03.2021,10:58:45,0.45
03.03.2021,10:58:46,0.45
03.03.2021,10:58:47,0.45
03.03.2021,10:58:48,0.45
03.03.2021,10:58:50,0.45
03.03.2021,10:58:51,0.45
03.03.2021,10:58:52,0.45
03.03.2021,10:58:53,0.45
03.03.2021,10:58:54,0.45
03.03.2021,10:58:55,0.45
03.03.2021,10:58:56,0.45
03.03.2021,10:58:57,0.46
03.03.2021,10:58:58,0.46
03.03.2021,10:58:59,0.46
03.03.2021,10:59:00,0.46
03.03.2021,10:59:01,0.46
03.03.2021,10:59:02,0.46
03.03.2021,10:59:03,0.46
03.03.2021,10:59:04,0.46
03.03.2021,10:59:05,0.46
03.03.2021,10:59:06,0.46
03.03.2021,10:59:07,0.46
03.03.2021,10:59:08,0.46
03.03.2021,10:59:09,0.46
03.03.2021,10:59:10,0.46
03.03.2021,10:59:11,0.46
03.03.2021,10:59:12,0.46
03.03.2021,10:59:13,0.46
03.03.2021,10:59:14,0.46
03.03.2021,10:59:15,0.46
03.03.2021,10:59:16,0.46
03.03.2021,10:59:17,0.46
03.03.2021,10:59:18,0.46
03.03.2021,10:59:19,0.46
03.03.2021,10:59:20,0.46
03.03.2021,10:59:22,0.46
03.03.2021,10:59:23,0.46
03.03.2021,10:59:24,0.46
03.03.2021,10:59:25,0.46
03.03.2021,10:59:26,0.46
03.03.2021,10:59:27,0.46
03.03.2021,10:59:28,0.46
03.03.2021,10:59:29,0.46
03.03.2021,10:59:30,0.46
03.03.2021,10:59:31,0.46
03.03.2021,10:59:32,0.46
03.03.2021,10:59:33,0.46
03.03.2021,10:59:34,0.46
03.03.2021,10:59:35,0.46
03.03.2021,10:59:36,0.46
03.03.2021,10:59:37,0.46
03.03.2021,10:59:38,0.46
03.03.2021,10:59:39,0.46
03.03.2021,10:59:40,0.46
03.03.2021,10:59:41,0.46
03.03.2021,10:59:42,0.46
03.03.2021,10:59:43,0.46
03.03.2021,10:59:44,0.46
03.03.2021,10:59:45,0.46
03.03.2021,10:59:46,0.46
03.03.2021,10:59:47,0.46
03.03.2021,10:59:48,0.46
03.03.2021,10:59:49,0.46
03.03.2021,10:59:50,0.46
03.03.2021,10:59:51,0.46
03.03.2021,10:59:52,0.46
03.03.2021,10:59:53,0.46
03.03.2021,10:59:55,0.46
03.03.2021,10:59:56,0.46
03.03.2021,10:59:57,0.46
03.03.2021,10:59:58,0.46
03.03.2021,10:59:59,0.46
03.03.2021,11:00:00,0.46
03.03.2021,11:00:01,0.46
03.03.2021,11:00:02,0.46
03.03.2021,11:00:03,0.46
03.03.2021,11:00:04,0.46
03.03.2021,11:00:05,0.46
03.03.2021,11:00:06,0.46
03.03.2021,11:00:07,0.46
03.03.2021,11:00:08,0.46
03.03.2021,11:00:09,0.46
03.03.2021,11:00:10,0.46
03.03.2021,11:00:11,0.46
03.03.2021,11:00:12,0.46
03.03.2021,11:00:13,0.46
03.03.2021,11:00:14,0.46
03.03.2021,11:00:15,0.46
03.03.2021,11:00:16,0.46
03.03.2021,11:00:17,0.46
03.03.2021,11:00:18,0.46
03.03.2021,11:00:19,0.46
03.03.2021,11:00:20,0.46
03.03.2021,11:00:21,0.46
03.03.2021,11:00:22,0.46
03.03.2021,11:00:23,0.46
03.03.2021,11:00:24,0.46
03.03.2021,11:00:25,0.46
03.03.2021,11:00:27,0.46
03.03.2021,11:00:28,0.46
03.03.2021,11:00:29,0.46
03.03.2021,11:00:30,0.46
03.03.2021,11:00:31,0.46
03.03.2021,11:00:32,0.46
03.03.2021,11:00:33,0.46
03.03.2021,11:00:34,0.46
03.03.2021,11:00:35,0.46
03.03.2021,11:00:36,0.46
03.03.2021,11:00:37,0.46
03.03.2021,11:00:38,0.46
03.03.2021,11:00:39,0.46
03.03.2021,11:00:40,0.46
03.03.2021,11:00:41,0.46
03.03.2021,11:00:42,0.46
03.03.2021,11:00:43,0.46
03.03.2021,11:00:44,0.46
03.03.2021,11:00:45,0.46
03.03.2021,11:00:46,0.46
03.03.2021,11:00:47,0.46
03.03.2021,11:00:48,0.46
03.03.2021,11:00:49,0.46
03.03.2021,11:00:50,0.46
03.03.2021,11:00:51,0.47
03.03.2021,11:00:52,0.47
03.03.2021,11:00:53,0.47
03.03.2021,11:00:54,0.47
03.03.2021,11:00:55,0.47
03.03.2021,11:00:56,0.47
03.03.2021,11:00:57,0.47
03.03.2021,11:00:59,0.47
03.03.2021,11:01:00,0.47
03.03.2021,11:01:01,0.47
03.03.2021,11:01:02,0.47
03.03.2021,11:01:03,0.47
03.03.2021,11:01:04,0.47
03.03.2021,11:01:05,0.47
03.03.2021,11:01:06,0.47
03.03.2021,11:01:07,0.47
03.03.2021,11:01:08,0.47
03.03.2021,11:01:09,0.47
03.03.2021,11:01:10,0.47
03.03.2021,11:01:11,0.47
03.03.2021,11:01:12,0.47
03.03.2021,11:01:13,0.47
03.03.2021,11:01:14,0.47
03.03.2021,11:01:15,0.47
03.03.2021,11:01:16,0.47
03.03.2021,11:01:17,0.47
03.03.2021,11:01:18,0.47
03.03.2021,11:01:19,0.47
03.03.2021,11:01:20,0.47
03.03.2021,11:01:21,0.47
03.03.2021,11:01:22,0.47
03.03.2021,11:01:23,0.47
03.03.2021,11:01:24,0.47
03.03.2021,11:01:25,0.47
03.03.2021,11:01:26,0.47
03.03.2021,11:01:27,0.47
03.03.2021,11:01:28,0.47
03.03.2021,11:01:29,0.47
03.03.2021,11:01:31,0.47
03.03.2021,11:01:32,0.47
03.03.2021,11:01:33,0.47
03.03.2021,11:01:34,0.47
03.03.2021,11:01:35,0.47
03.03.2021,11:01:36,0.47
03.03.2021,11:01:37,0.47
03.03.2021,11:01:38,0.48
03.03.2021,11:01:39,0.48
03.03.2021,11:01:40,0.48
03.03.2021,11:01:41,0.48
03.03.2021,11:01:42,0.47
03.03.2021,11:01:43,0.47
03.03.2021,11:01:44,0.47
03.03.2021,11:01:45,0.47
03.03.2021,11:01:46,0.48
03.03.2021,11:01:47,0.48
