Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG,,,
1,7/25/2012,1:55:53,10,0:00:05,9111,0.00E+00,0:00:03,20,10:50:27,,12.4
2,7/25/2012,1:55:58,6.09,0:00:10,5531,7.59E-01,0:00:03,691,10:50:32,,
3,7/25/2012,1:56:09,10,0:00:16,9121,0.00E+00,0:00:05,23,10:50:43,,
4,7/25/2012,1:56:14,10,0:00:21,9120,0.00E+00,0:00:05,21,10:50:48,,
5,7/25/2012,1:56:19,10,0:00:26,9112,0.00E+00,0:00:05,20,10:50:53,,
6,7/25/2012,1:56:24,10,0:00:31,9103,0.00E+00,0:00:05,25,10:50:58,,
7,7/25/2012,1:56:29,10,0:00:36,9117,0.00E+00,0:00:05,20,10:51:03,,
8,7/25/2012,1:56:34,10,0:00:41,9108,0.00E+00,0:00:05,22,10:51:08,,
9,7/25/2012,1:56:39,10,0:00:46,9098,0.00E+00,0:00:05,20,10:51:13,,
10,7/25/2012,1:56:44,9.97,0:00:51,9060,0.00E+00,0:00:05,23,10:51:18,,
11,7/25/2012,1:56:49,9.95,0:00:56,9047,0.00E+00,0:00:05,25,10:51:23,,
12,7/25/2012,1:56:54,9.96,0:01:01,9048,0.00E+00,0:00:05,21,10:51:28,,
13,7/25/2012,1:58:00,9.85,0:01:10,8951,0.00E+00,0:00:07,23,10:52:34,,
14,7/25/2012,1:58:05,9.91,0:01:15,9010,0.00E+00,0:00:07,20,10:52:39,,
15,7/25/2012,1:58:10,9.91,0:01:20,9003,0.00E+00,0:00:07,23,10:52:44,,
16,7/25/2012,1:58:15,9.89,0:01:25,8993,0.00E+00,0:00:07,21,10:52:49,,
17,7/25/2012,1:58:20,9.89,0:01:30,8992,0.00E+00,0:00:07,21,10:52:54,,
18,7/25/2012,1:58:25,9.91,0:01:35,9003,0.00E+00,0:00:07,21,10:52:59,,
19,7/25/2012,1:58:31,9.87,0:01:40,8973,0.00E+00,0:00:07,21,10:53:05,,
20,7/25/2012,1:58:59,9.45,0:01:46,8592,0.00E+00,0:00:08,27,10:53:33,,
21,7/25/2012,1:59:04,9.39,0:01:51,8532,0.00E+00,0:00:08,22,10:53:38,,
22,7/25/2012,1:59:09,9.45,0:01:56,8588,0.00E+00,0:00:08,21,10:53:43,,
23,7/25/2012,1:59:14,9.5,0:02:01,8635,0.00E+00,0:00:08,30,10:53:48,,
24,7/25/2012,1:59:19,9.48,0:02:06,8612,0.00E+00,0:00:08,26,10:53:53,,
25,7/25/2012,1:59:24,9.46,0:02:11,8602,0.00E+00,0:00:08,21,10:53:58,,
26,7/25/2012,1:59:29,9.47,0:02:16,8610,0.00E+00,0:00:08,21,10:54:03,,
27,7/25/2012,2:12:04,9.96,0:02:25,9055,0.00E+00,0:00:10,22,11:06:38,,
28,7/25/2012,2:12:09,9.94,0:02:30,9031,0.00E+00,0:00:10,23,11:06:43,,
29,7/25/2012,2:12:14,9.94,0:02:35,9030,0.00E+00,0:00:10,25,11:06:48,,
30,7/25/2012,2:12:19,9.94,0:02:40,9031,0.00E+00,0:00:10,21,11:06:53,,
31,7/25/2012,2:12:24,9.93,0:02:45,9025,0.00E+00,0:00:10,20,11:06:58,,
32,7/25/2012,2:12:29,9.94,0:02:50,9030,0.00E+00,0:00:10,23,11:07:03,,
33,7/25/2012,2:12:34,9.92,0:02:55,9015,0.00E+00,0:00:10,22,11:07:08,,
34,7/25/2012,2:12:39,9.93,0:03:01,9027,0.00E+00,0:00:10,25,11:07:13,,
35,7/25/2012,2:12:45,9.93,0:03:06,9021,0.00E+00,0:00:10,22,11:07:19,,
36,7/25/2012,2:12:50,9.93,0:03:11,9027,0.00E+00,0:00:10,22,11:07:24,,
37,7/25/2012,2:12:55,9.92,0:03:16,9013,0.00E+00,0:00:10,21,11:07:29,,
38,7/25/2012,2:13:00,9.91,0:03:21,9003,0.00E+00,0:00:10,23,11:07:34,,
39,7/25/2012,2:13:05,9.91,0:03:26,9011,0.00E+00,0:00:10,25,11:07:39,,
40,7/25/2012,2:13:10,9.91,0:03:31,9010,0.00E+00,0:00:10,28,11:07:44,,
41,7/25/2012,2:13:15,9.91,0:03:36,9010,0.00E+00,0:00:10,27,11:07:49,,
42,7/25/2012,2:13:20,9.91,0:03:41,9003,0.00E+00,0:00:10,25,11:07:54,,
43,7/25/2012,2:13:25,9.91,0:03:46,9011,0.00E+00,0:00:10,22,11:07:59,,
44,7/25/2012,2:13:30,9.92,0:03:51,9015,0.00E+00,0:00:10,16,11:08:04,,
45,7/25/2012,2:13:35,9.92,0:03:56,9013,0.00E+00,0:00:10,22,11:08:09,,
46,7/25/2012,2:13:40,9.92,0:04:01,9012,0.00E+00,0:00:10,22,11:08:14,,
47,7/25/2012,2:13:45,9.9,0:04:06,8996,0.00E+00,0:00:10,23,11:08:19,,
48,7/25/2012,2:13:50,9.89,0:04:11,8991,0.00E+00,0:00:10,20,11:08:24,,
49,7/25/2012,2:13:55,9.89,0:04:16,8991,0.00E+00,0:00:10,22,11:08:29,,
50,7/25/2012,2:14:00,9.9,0:04:21,8995,0.00E+00,0:00:10,22,11:08:34,,
51,7/25/2012,2:14:05,9.9,0:04:26,8997,0.00E+00,0:00:10,20,11:08:39,,
52,7/25/2012,2:14:10,9.9,0:04:31,9001,0.00E+00,0:00:10,23,11:08:44,,
53,7/25/2012,2:14:15,9.89,0:04:36,8985,0.00E+00,0:00:10,21,11:08:49,,
54,7/25/2012,2:14:20,9.87,0:04:41,8966,0.00E+00,0:00:10,23,11:08:54,,
55,7/25/2012,2:14:25,9.97,0:04:46,9058,0.00E+00,0:00:10,17,11:08:59,,
56,7/25/2012,2:14:30,9.88,0:04:51,8978,0.00E+00,0:00:10,23,11:09:04,,
57,7/25/2012,2:14:36,9.88,0:04:57,8978,0.00E+00,0:00:10,23,11:09:10,,
58,7/25/2012,2:14:41,9.87,0:05:02,8975,0.00E+00,0:00:10,21,11:09:15,,
59,7/25/2012,2:14:46,9.88,0:05:07,8981,0.00E+00,0:00:10,23,11:09:20,,
60,7/25/2012,2:14:51,9.88,0:05:12,8977,0.00E+00,0:00:10,20,11:09:25,,
61,7/25/2012,2:14:56,9.86,0:05:17,8962,0.00E+00,0:00:10,22,11:09:30,,
62,7/25/2012,2:15:01,9.86,0:05:22,8965,0.00E+00,0:00:10,21,11:09:35,,
63,7/25/2012,2:15:06,9.86,0:05:27,8966,0.00E+00,0:00:10,26,11:09:40,,
64,7/25/2012,2:15:11,9.86,0:05:32,8961,0.00E+00,0:00:10,23,11:09:45,,
65,7/25/2012,2:15:16,9.86,0:05:37,8965,0.00E+00,0:00:10,25,11:09:50,,
66,7/25/2012,2:15:21,9.87,0:05:42,8967,0.00E+00,0:00:10,27,11:09:55,,
67,7/25/2012,2:29:51,10.7,0:05:51,9746,0.00E+00,0:00:15,23,11:24:25,,
68,7/25/2012,2:29:56,11.1,0:05:56,10076,0.00E+00,0:00:15,22,11:24:30,,
69,7/25/2012,2:30:01,12.1,0:06:01,10971,0.00E+00,0:00:15,26,11:24:35,,
70,7/25/2012,2:30:06,10.9,0:06:06,9920,0.00E+00,0:00:15,21,11:24:40,,
71,7/25/2012,2:30:11,10.9,0:06:11,9926,0.00E+00,0:00:15,22,11:24:45,,
72,7/25/2012,2:33:35,10.8,0:06:19,9805,0.00E+00,0:00:17,17,11:28:09,,
73,7/25/2012,2:40:42,3.65,0:06:32,3315,0.00E+00,0:00:21,21,11:35:16,,
74,7/25/2012,2:40:51,3.52,0:06:41,3197,0.00E+00,0:00:21,22,11:35:25,,
75,7/25/2012,2:40:56,3.05,0:06:46,2778,0.00E+00,0:00:21,23,11:35:30,,
76,7/25/2012,2:48:52,10.7,0:06:57,9722,0.00E+00,0:00:23,18,11:43:26,,
77,7/25/2012,2:48:57,10.7,0:07:02,9691,0.00E+00,0:00:23,25,11:43:31,,
78,7/25/2012,2:49:02,10.7,0:07:07,9688,0.00E+00,0:00:23,17,11:43:36,,
79,7/25/2012,2:49:07,10.7,0:07:12,9695,0.00E+00,0:00:23,25,11:43:41,,
80,7/25/2012,2:49:12,10.7,0:07:17,9701,0.00E+00,0:00:23,23,11:43:46,,
81,7/25/2012,2:49:17,10.7,0:07:22,9697,0.00E+00,0:00:23,26,11:43:51,,
82,7/25/2012,2:49:22,10.7,0:07:28,9685,0.00E+00,0:00:23,21,11:43:56,,
83,7/25/2012,2:49:27,10.7,0:07:33,9702,0.00E+00,0:00:23,23,11:44:01,,
84,7/25/2012,2:49:32,10.7,0:07:38,9687,0.00E+00,0:00:23,25,11:44:06,,
85,7/25/2012,2:49:38,10.6,0:07:43,9646,0.00E+00,0:00:23,22,11:44:12,,
86,7/25/2012,2:49:43,10.5,0:07:48,9502,0.00E+00,0:00:23,22,11:44:17,,
87,7/25/2012,2:49:48,6.09,0:07:53,5496,8.42E-01,0:00:23,767,11:44:22,,
88,7/25/2012,2:50:55,9.77,0:07:58,8883,0.00E+00,0:00:24,26,11:45:29,,
89,7/25/2012,3:12:32,3.25,0:08:09,2955,0.00E+00,0:00:31,27,12:07:06,,
90,7/25/2012,3:12:38,2.62,0:08:14,2385,0.00E+00,0:00:31,23,12:07:12,,
91,7/25/2012,3:14:25,11.3,0:08:22,10232,0.00E+00,0:00:32,22,12:08:59,,
92,7/25/2012,3:14:30,11.3,0:08:27,10235,0.00E+00,0:00:32,25,12:09:04,,
93,7/25/2012,3:14:35,11.3,0:08:32,10228,0.00E+00,0:00:32,25,12:09:09,,
94,7/25/2012,3:16:57,10.4,0:08:40,9448,0.00E+00,0:00:35,23,12:11:31,,
95,7/25/2012,3:28:44,10.7,0:08:48,9716,0.00E+00,0:00:38,21,12:23:18,,
96,7/25/2012,3:28:49,10.7,0:08:53,9698,0.00E+00,0:00:38,23,12:23:23,,
97,7/25/2012,3:28:54,10.5,0:08:58,9558,0.00E+00,0:00:38,21,12:23:28,,
98,7/25/2012,3:28:59,10.5,0:09:03,9550,0.00E+00,0:00:38,23,12:23:33,,
99,7/25/2012,3:29:04,10.5,0:09:08,9555,0.00E+00,0:00:38,16,12:23:38,,
100,7/25/2012,3:29:09,10.6,0:09:13,9637,0.00E+00,0:00:38,25,12:23:43,,
101,7/25/2012,3:29:14,10.7,0:09:18,9683,0.00E+00,0:00:38,25,12:23:48,,
102,7/25/2012,3:31:10,11,0:09:27,10005,0.00E+00,0:00:41,21,12:25:44,,
103,7/25/2012,3:31:15,11,0:09:32,10021,0.00E+00,0:00:41,22,12:25:49,,
104,7/25/2012,3:31:20,11,0:09:37,10023,0.00E+00,0:00:41,26,12:25:54,,
105,7/25/2012,3:31:25,11,0:09:42,10033,0.00E+00,0:00:41,23,12:25:59,,
106,7/25/2012,3:31:30,11,0:09:47,10016,0.00E+00,0:00:41,23,12:26:04,,
107,7/25/2012,3:32:45,10.6,0:09:56,9651,0.00E+00,0:00:44,23,12:27:19,,
108,7/25/2012,3:32:50,10.6,0:10:01,9631,0.00E+00,0:00:44,21,12:27:24,,
109,7/25/2012,3:32:55,10.6,0:10:06,9630,0.00E+00,0:00:44,22,12:27:29,,
110,7/25/2012,3:33:00,10.6,0:10:11,9626,0.00E+00,0:00:44,26,12:27:34,,
111,7/25/2012,3:33:05,10.6,0:10:16,9636,0.00E+00,0:00:44,25,12:27:39,,
112,7/25/2012,3:33:10,10.6,0:10:21,9636,0.00E+00,0:00:44,22,12:27:44,,
113,7/25/2012,3:33:15,10.6,0:10:26,9616,0.00E+00,0:00:44,16,12:27:49,,
114,7/25/2012,3:39:50,10.7,0:10:32,9747,0.00E+00,0:00:46,27,12:34:24,,
115,7/25/2012,3:39:55,10.7,0:10:37,9722,0.00E+00,0:00:46,25,12:34:29,,
116,7/25/2012,3:40:00,10.7,0:10:42,9720,0.00E+00,0:00:46,22,12:34:34,,
117,7/25/2012,3:40:05,10.7,0:10:47,9717,0.00E+00,0:00:46,23,12:34:39,,
118,7/25/2012,3:40:10,10.7,0:10:52,9727,0.00E+00,0:00:46,25,12:34:44,,
119,7/25/2012,3:40:15,10.7,0:10:57,9726,0.00E+00,0:00:46,22,12:34:49,,
120,7/25/2012,3:40:20,10.7,0:11:02,9725,0.00E+00,0:00:46,16,12:34:54,,
121,7/25/2012,3:42:02,11,0:11:10,9955,0.00E+00,0:00:49,26,12:36:36,,
122,7/25/2012,3:42:07,6.55,0:11:15,5903,7.43E-01,0:00:49,687,12:36:41,,
123,7/25/2012,3:54:04,10.5,0:11:21,9568,0.00E+00,0:00:56,23,12:48:38,,
124,7/25/2012,3:54:09,10.2,0:11:26,9270,0.00E+00,0:00:56,22,12:48:43,,
125,7/25/2012,3:54:14,10.5,0:11:31,9576,0.00E+00,0:00:56,23,12:48:48,,
126,7/25/2012,3:54:19,10.5,0:11:36,9548,0.00E+00,0:00:56,20,12:48:53,,
127,7/25/2012,3:54:24,10.5,0:11:41,9570,0.00E+00,0:00:56,26,12:48:58,,
128,7/25/2012,3:54:29,10.5,0:11:46,9551,0.00E+00,0:00:56,23,12:49:03,,
