duration,ft_change,ut_change,tank_change,time_lag,first_slope_ratio,first_fm_index,first_feces_index,first_urine_index,first_fm_value,event_num,duration(s),flowmeter,num_max_feces,num_max_urine,flowmeter-tank
0 days 00:06:31,5.522000000000001,0.6000000000000001,6.122000000000002,50.0,56.909090909090864,0.0,114.0,64.0,0.16666666666666666,1.0,391.0,7.4925,3.0,3.0,1.370499999999998
0 days 00:02:49,7.340000000000001,0.7,8.040000000000001,-6.0,3.250000000000028,0.0,14.0,20.0,0.175,2.0,169.0,8.925,2.0,1.0,0.8849999999999998
0 days 00:04:12,8.130000000000006,2.03,10.160000000000005,5.0,6.876543209876541,0.0,32.0,27.0,0.18000000000000002,3.0,252.0,15.458333333333334,3.0,3.0,5.2983333333333285
0 days 00:02:29,0.4800000000000004,0.040000000000000036,0.5200000000000005,-6.0,227431781182216.0,0.0,43.0,49.0,0.18000000000000002,4.0,149.0,3.6000000000000005,2.0,1.0,3.08
0 days 00:06:02,9.655000000000001,0.9599999999999995,10.615,-13.0,6.599999999999743,6.0,0.0,13.0,0.17333333333333334,5.0,362.0,17.333333333333336,2.0,3.0,6.7183333333333355
0 days 00:01:41,1.993000000000002,0.33999999999999986,2.333000000000002,11.0,9.040983606557331,0.0,32.0,21.0,0.13733333333333334,6.0,101.0,0.6866666666666666,1.0,1.0,-1.6463333333333354
0 days 00:02:18,1.1900000000000048,0.3200000000000003,1.5100000000000051,4.0,3.207692307692268,0.0,27.0,23.0,0.0615,7.0,138.0,1.5916666666666666,1.0,1.0,0.08166666666666145
0 days 00:01:52,0.8399999999999963,0.17999999999999972,1.019999999999996,2.0,3.491228070175408,0.0,29.0,27.0,0.13583333333333333,8.0,112.0,1.9974999999999998,1.0,1.0,0.9775000000000038
0 days 00:03:33,3.5500000000000043,0.20999999999999996,3.7600000000000042,-22.0,0.14285714285680753,0.0,51.0,73.0,0.18333333333333332,9.0,213.0,4.583333333333332,1.0,1.0,0.8233333333333279
0 days 00:04:15,10.790000000000006,0.8599999999999985,11.650000000000006,10.0,83.40000000000138,0.0,10.0,0.0,0.1465,10.0,255.0,19.8825,4.0,4.0,8.232499999999995
0 days 00:01:37,0.43900000000000716,0.15000000000000036,0.5890000000000075,3.0,0.12500000000006384,,7.0,4.0,0.0,11.0,97.0,0.0,1.0,2.0,-0.5890000000000075
0 days 00:01:57,0.3400000000000034,0.03999999999999915,0.38000000000000256,16.0,8.933333333333017,0.0,36.0,20.0,0.17666666666666667,12.0,117.0,3.533333333333333,1.0,0.0,3.1533333333333307
0 days 00:03:34,4.61999999999999,0.3299999999999992,4.9499999999999895,-1.0,11.46938775510212,0.0,26.0,27.0,0.17666666666666667,13.0,214.0,12.366666666666667,3.0,3.0,7.416666666666678
0 days 00:04:33,8.680000000000014,1.1399999999999997,9.820000000000014,-10.0,0.05649717514123182,0.0,7.0,17.0,0.16666666666666666,14.0,273.0,11.099999999999998,3.0,3.0,1.2799999999999834
0 days 00:04:19,5.490000000000009,0.8300000000000001,6.320000000000009,37.0,31.111111111107775,0.0,67.0,30.0,0.16566666666666666,15.0,259.0,13.413333333333332,2.0,3.0,7.093333333333323
0 days 00:01:54,0.12000000000000455,0.0,0.12000000000000455,,,,,,,,,,,,
0 days 00:02:22,0.22700000000000387,0.0,0.22700000000000387,,,,,,,,,,,,
0 days 00:09:01,13.819999999999993,1.790000000000001,15.609999999999994,7.0,0.38461538461524586,0.0,25.0,18.0,0.1716666666666667,18.0,541.0,17.69075,6.0,8.0,2.080750000000007
0 days 00:04:32,3.6400000000000006,0.41000000000000014,4.050000000000001,-80.0,0.10471204188494433,0.0,76.0,156.0,0.175,19.0,272.0,10.338333333333335,1.0,1.0,6.288333333333334
0 days 00:02:24,2.240000000000009,0.34999999999999787,2.590000000000007,8.0,11.18518518518501,0.0,26.0,18.0,0.06516666666666666,20.0,144.0,1.2683333333333335,1.0,2.0,-1.3216666666666734
0 days 00:02:00,0.3400000000000176,0.15700000000000003,0.49700000000001765,-19.0,0.17699115044244337,,9.0,28.0,0.0,21.0,120.0,0.0,0.0,1.0,-0.49700000000001765
0 days 00:05:38,14.88000000000001,1.2300000000000004,16.11000000000001,-4.0,11.07246376811589,0.0,25.0,29.0,0.16633333333333333,22.0,338.0,20.9,3.0,3.0,4.7899999999999885
